Volatility 3 Framework 1.0.1

PID	Process	Args

4	System	Required memory at 0x20 is not valid (process exited?)
292	smss.exe	\SystemRoot\System32\smss.exe
412	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
504	smss.exe	Required memory at 0xbc4f0cb020 is not valid (process exited?)
512	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
560	winlogon.exe	winlogon.exe
568	wininit.exe	wininit.exe
652	services.exe	C:\Windows\system32\services.exe
664	lsass.exe	C:\Windows\system32\lsass.exe
764	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch
824	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS
912	dwm.exe	"dwm.exe"
972	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
996	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
508	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs
400	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService
944	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork
1092	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted
1100	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService
1592	spoolsv.exe	C:\Windows\System32\spoolsv.exe
1668	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc
1732	svchost.exe	C:\Windows\System32\svchost.exe -k smbsvcs
1764	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel
1852	wlms.exe	C:\Windows\system32\wlms\wlms.exe
1876	MsMpEng.exe	"C:\Program Files\Windows Defender\MsMpEng.exe"
1896	vm3dservice.ex	C:\Windows\system32\vm3dservice.exe
1904	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
1912	VGAuthService.	"C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
892	vm3dservice.ex	vm3dservice.exe -n
2136	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted
2812	dllhost.exe	C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}
2912	msdtc.exe	C:\Windows\System32\msdtc.exe
3004	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
2560	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
3176	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
4064	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
2196	sihost.exe	sihost.exe
2756	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup
2424	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
1140	userinit.exe	Required memory at 0x59eced020 is not valid (process exited?)
2676	explorer.exe	C:\Windows\Explorer.EXE
3496	ShellExperienc	"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca
3408	SearchUI.exe	"C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca
2552	ServerManager.	"C:\Windows\system32\ServerManager.exe" 
3732	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" -n vmusr
4172	jusched.exe	"C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe" 
4356	cmd.exe	"C:\Windows\System32\cmd.exe" /C "C:\Users\Administrator\Desktop\wls1411\user_projects\domains\base_domain\bin\startNodeManager.cmd" 
4364	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
