Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000b68cb041fcf0     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\drivers\PEAuth.sys
0x0000b68cb04224b0      1      0 R--r-d \Device\HarddiskVolume4\Windows\System32\svchost.exe
0x0000b68cb042a360     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\drivers\srv.sys
0x0000b68cb042c280      1      0 R--r-d \Device\HarddiskVolume4\Windows\System32\svchost.exe
0x0000b68cb042e380  32768      1 R--rw- \Device\HarddiskVolume4\Windows\System32
0x0000b68cb0495ae0      9      0 R--r-d \Device\HarddiskVolume4\Windows\System32\wlms\wlms.exe
0x0000b68cb0496080      9      0 R--r-d \Device\HarddiskVolume4\Windows\System32\trkwks.dll
0x0000b68cb04965f0  32757      1 ------ \Device\DeviceApi\CMNotify
0x0000b68cb0499750      7      0 R--r-d \Device\HarddiskVolume4\Windows\System32\mi.dll
0x0000b68cb04998e0     12      0 R--r-d \Device\HarddiskVolume4\Windows\System32\miutils.dll
0x0000b68cb049aea0  32756      1 R--rw- \Device\HarddiskVolume4\Windows\System32
0x0000b68cb049e990      2      0 RW-rwd \Device\HarddiskVolume4\$Directory
0x0000b68cb049f650      3      0 RW-rwd \Device\HarddiskVolume4\$Directory
0x0000b68cb04a1080     14      0 R--r-d \Device\HarddiskVolume4\Windows\System32\version.dll
0x0000b68cb04a3ef0  32767      1 ------ \Device\NamedPipe\trkwks
0x0000b68cb04a7c90  32761      1 R--rw- \Device\HarddiskVolume4\Windows\System32
0x0000b68cb04a8180     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\drivers\tcpipreg.sys
0x0000b68cb04a9760  32732      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\modules\com.googlecode.cqengine.cqengine.jar
0x0000b68cb04aaef0     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\drivers\mrxsmb10.sys
0x0000b68cb055be30  32767      1 R--rwd \Device\HarddiskVolume4\$Extend\$ObjId
0x0000b68cb0567920     13      0 R--r-d \Device\HarddiskVolume4\Windows\System32\Windows.UI.Immersive.dll
0x0000b68cb056add0     12      0 R--r-d \Device\HarddiskVolume4\Windows\System32\wbem\WMIsvc.dll
0x0000b68cb056e080      7      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\vmtoolsd.exe
0x0000b68cb056e330      9      0 R--r-d \Device\HarddiskVolume4\Program Files\Windows Defender\MsMpEng.exe
0x0000b68cb0572950  32768      1 R--rw- \Device\HarddiskVolume4\Windows\System32
0x0000b68cb0576780  32245      1 RW-rw- \Device\HarddiskVolume4\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm
0x0000b68cb057b480      8      0 R--r-d \Device\HarddiskVolume4\Windows\System32\pcwum.dll
0x0000b68cb057d9b0  32768      1 R--rw- \Device\HarddiskVolume4\Windows\System32
0x0000b68cb0582770  32672      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\server\lib\consoleapp\APP-INF\lib\standard.jar
0x0000b68cb0582ef0     14      0 R--r-d \Device\HarddiskVolume4\Windows\System32\sbservicetrigger.dll
0x0000b68cb0583b40      3      0 R--r-d \Device\HarddiskVolume4\Windows\System32\Windows.StateRepository.dll
0x0000b68cb0584ef0     11      0 R--r-d \Device\HarddiskVolume4\Windows\System32\WsmSvc.dll
0x0000b68cb0585c10      8      0 R--r-d \Device\HarddiskVolume4\Windows\System32\cdp.dll
0x0000b68cb0586970      5      0 R--r-d \Device\HarddiskVolume4\Windows\System32\diagtrack.dll
0x0000b68cb0586d60     12      0 R--r-d \Device\HarddiskVolume4\Windows\System32\tileobjserver.dll
0x0000b68cb0588310     15      0 R--r-d \Device\HarddiskVolume4\Windows\System32\en-US\netmsg.dll.mui
0x0000b68cb0589d30     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\en-US\dhcpcore.dll.mui
0x0000b68cb058a770      7      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\VMware VGAuth\libxml2.dll
0x0000b68cb058ca20  32768      1 R--rw- \Device\HarddiskVolume4\Windows\System32
0x0000b68cb058cef0     19      0 RW-rwd \Device\HarddiskVolume4\$Extend\$ObjId:$O:$INDEX_ALLOCATION
0x0000b68cb058f340  32784      1 R--r-d \Device\HarddiskVolume4\Windows\en-US\explorer.exe.mui
0x0000b68cb058fcb0  32768      1 ------ \Device\DeviceApi\CMNotify
0x0000b68cb0594080  32768      1 R--rw- \Device\HarddiskVolume4\Windows\System32
0x0000b68cb05944e0      8      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\VMware VGAuth\libeay32.dll
0x0000b68cb0594ef0  32755      1 ------ \Device\Afd\Endpoint
0x0000b68cb0595790  32769      1 RW-r-- \Device\HarddiskVolume4\Windows\System32\winevt\Logs\Microsoft-Windows-SettingSync%4Operational.evtx
0x0000b68cb0596950      9      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\gmodule-2.0.dll
0x0000b68cb0596ae0     12      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\glib-2.0.dll
0x0000b68cb0596df0  32763      1 R--r-- \Device\HarddiskVolume4\Windows\Registration\R000000000006.clb
0x0000b68cb0597770  32750      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\modules\weblogic-L10N_es.jar
0x0000b68cb0597a40      8      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\intl.dll
0x0000b68cb0597e50      9      0 R--r-d \Device\HarddiskVolume4\Windows\System32\wbemcomn.dll
0x0000b68cb0598bd0      5      0 R--r-d \Device\HarddiskVolume4\Windows\System32\netapi32.dll
0x0000b68cb0599080  32750      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\modules\weblogic-L10N_fr.jar
0x0000b68cb059fae0     15      0 R--r-d \Device\HarddiskVolume4\Windows\System32\vcruntime140.dll
0x0000b68cb05a0860      8      0 R--r-d \Device\HarddiskVolume4\Windows\System32\windowsperformancerecordercontrol.dll
0x0000b68cb05a0ef0     15      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\VMware VGAuth\ssleay32.dll
0x0000b68cb05a3a50      1      1 ------ \Device\NamedPipe\trkwks
0x0000b68cb05a3be0      4      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\VMware VGAuth\glib-2.0.dll
0x0000b68cb05a4080  32516      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\modules\com.bea.core.utils.full.jar
0x0000b68cb05a4260  32750      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\modules\com.oracle.weblogic.old-utils-weblogic.jar
0x0000b68cb05a43f0  32736      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\modules\com.oracle.weblogic.old-utils-general.jar
0x0000b68cb05a5ef0      6      0 R--r-d \Device\HarddiskVolume4\Windows\System32\w32time.dll
0x0000b68cb05a8e30  32767      1 ------ \Device\Afd\Endpoint
0x0000b68cb05a9950  32758      1 ------ \Device\Afd\Endpoint
0x0000b68cb05aa080  32769      1 RW-r-- \Device\HarddiskVolume4\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx
0x0000b68cb05aac40  32756      1 ------ \Device\Afd\Endpoint
0x0000b68cb05aaef0     14      0 R--r-d \Device\HarddiskVolume4\Windows\System32\StateRepository.Core.dll
0x0000b68cb05ab4b0  32767      1 ------ \Device\NamedPipe\spoolss
0x0000b68cb05ab640  32767      1 ------ \Device\NamedPipe\spoolss
0x0000b68cb05af430      1      1 ------ \Device\NamedPipe\spoolss
0x0000b68cb05b3820  32750      1 R--rw- \Device\HarddiskVolume4\Users\Administrator\Desktop\wls1411\wlserver\modules\weblogic-L10N_zh_CN.jar
0x0000b68cb05b6530  31827      1 ------ \Device\NamedPipe\wkssvc
0x0000b68cb05b9d10  32767      1 ------ \Device\Afd\Endpoint
0x0000b68cb05bbb30  32709      1 ------ \Device\DeviceApi\CMApi
0x0000b68cb05bbcc0     11      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\VMware VGAuth\libxmlsec.dll
0x0000b68cb05bbe50     11      0 R--r-d \Device\HarddiskVolume4\Windows\System32\dbgcore.dll
0x0000b68cb05bd490      3      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\vmtools.dll
0x0000b68cb05bde50     11      0 R--r-d \Device\HarddiskVolume4\Windows\System32\dbghelp.dll
0x0000b68cb05de080      1      1 ------ \Device\DeviceApi\CMApi
0x0000b68cb05ff280     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\drivers\watchdog.sys
0x0000b68cb0728d50      9      0 R--r-d \Device\HarddiskVolume4\Program Files\VMware\VMware Tools\plugins\common\hgfsUsability.dll
0x0000b68cb072ed60  32781      1 RW-r-- \Device\HarddiskVolume4\Windows\System32\winevt\Logs\Microsoft-Windows-UniversalTelemetryClient%4Operational.evtx
0x0000b68cb072fc50     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\drivers\udfs.sys
0x0000b68cb072fef0      2      0 R--r-d \Device\HarddiskVolume4\Windows\System32\kernel32.dll
0x0000b68cb074ca60  32768      1 ------ \Device\DeviceApi\CMNotify
