Volatility 3 Framework 1.0.1

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xb68cb05a9300	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1592	spoolsv.exe	2021-08-06 15:26:34.000000 
0xb68cb05a9300	TCPv6	::	49668	::	0	LISTENING	1592	spoolsv.exe	2021-08-06 15:26:34.000000 
0xb68cb0751010	TCPv4	192.168.144.131	80	0.0.0.0	0	LISTENING	508	svchost.exe	2021-08-06 15:26:45.000000 
0xb68cb0766d40	UDPv6	::1	1900	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb079bbd0	UDPv6	::1	60614	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb0a9fec0	UDPv4	0.0.0.0	0	*	0		4344	powershell.exe	2021-08-06 15:54:58.000000 
0xb68cb0f05350	UDPv4	192.168.144.131	138	*	0		4	System	2021-08-06 15:26:24.000000 
0xb68cb1254ec0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	824	svchost.exe	2021-08-06 15:26:17.000000 
0xb68cb1cd12f0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	824	svchost.exe	2021-08-06 15:26:17.000000 
0xb68cb1cd12f0	TCPv6	::	135	::	0	LISTENING	824	svchost.exe	2021-08-06 15:26:17.000000 
0xb68cb1e278a0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	568	wininit.exe	2021-08-06 15:26:17.000000 
0xb68cb1e278a0	TCPv6	::	49664	::	0	LISTENING	568	wininit.exe	2021-08-06 15:26:17.000000 
0xb68cb1ec97a0	TCPv4	192.168.144.131	139	0.0.0.0	0	LISTENING	4	System	2021-08-06 15:26:24.000000 
0xb68cb1ed8ec0	UDPv4	0.0.0.0	0	*	0		2136	svchost.exe	2021-08-06 15:26:41.000000 
0xb68cb1ed8ec0	UDPv6	::	0	*	0		2136	svchost.exe	2021-08-06 15:26:41.000000 
0xb68cb1f099e0	UDPv4	192.168.144.131	137	*	0		4	System	2021-08-06 15:26:24.000000 
0xb68cb1f6e740	TCPv4	127.0.0.1	49676	127.0.0.1	49675	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb1fc0dc0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	568	wininit.exe	2021-08-06 15:26:17.000000 
0xb68cb22479f0	UDPv4	192.168.144.131	60615	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb22a9430	UDPv4	127.0.0.1	60616	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb22a9ec0	UDPv6	fe80::5caf:aaae:b035:834d	60613	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb230b010	UDPv4	0.0.0.0	5353	*	0		1100	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb2315dd0	UDPv4	127.0.0.1	1900	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb231f480	UDPv4	192.168.144.131	1900	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb2344cf0	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	652	services.exe	2021-08-06 15:26:56.000000 
0xb68cb2344cf0	TCPv6	::	49669	::	0	LISTENING	652	services.exe	2021-08-06 15:26:56.000000 
0xb68cb2352330	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	652	services.exe	2021-08-06 15:26:56.000000 
0xb68cb23b3aa0	UDPv4	0.0.0.0	5050	*	0		400	svchost.exe	2021-08-06 15:28:56.000000 
0xb68cb2404540	UDPv4	0.0.0.0	0	*	0		400	svchost.exe	2021-08-06 15:26:34.000000 
0xb68cb2405ec0	UDPv4	0.0.0.0	0	*	0		400	svchost.exe	2021-08-06 15:26:34.000000 
0xb68cb2405ec0	UDPv6	::	0	*	0		400	svchost.exe	2021-08-06 15:26:34.000000 
0xb68cb2421b30	UDPv4	0.0.0.0	123	*	0		400	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb24444e0	UDPv4	0.0.0.0	0	*	0		508	svchost.exe	2021-08-06 15:26:41.000000 
0xb68cb24444e0	UDPv6	::	0	*	0		508	svchost.exe	2021-08-06 15:26:41.000000 
0xb68cb246dd50	UDPv4	0.0.0.0	0	*	0		1100	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb246dd50	UDPv6	::	0	*	0		1100	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb24aeec0	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2021-08-06 15:26:38.000000 
0xb68cb24aeec0	TCPv6	::	445	::	0	LISTENING	4	System	2021-08-06 15:26:38.000000 
0xb68cb24b8540	UDPv4	0.0.0.0	0	*	0		508	svchost.exe	2021-08-06 15:26:38.000000 
0xb68cb24ba010	UDPv4	0.0.0.0	500	*	0		508	svchost.exe	2021-08-06 15:26:38.000000 
0xb68cb24e88f0	TCPv4	0.0.0.0	47001	0.0.0.0	0	LISTENING	4	System	2021-08-06 15:26:39.000000 
0xb68cb24e88f0	TCPv6	::	47001	::	0	LISTENING	4	System	2021-08-06 15:26:39.000000 
0xb68cb24ff8f0	TCPv4	0.0.0.0	5985	0.0.0.0	0	LISTENING	4	System	2021-08-06 15:26:39.000000 
0xb68cb24ff8f0	TCPv6	::	5985	::	0	LISTENING	4	System	2021-08-06 15:26:39.000000 
0xb68cb26862d0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1592	spoolsv.exe	2021-08-06 15:26:34.000000 
0xb68cb268ca30	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	996	svchost.exe	2021-08-06 15:26:22.000000 
0xb68cb268ca30	TCPv6	::	49665	::	0	LISTENING	996	svchost.exe	2021-08-06 15:26:22.000000 
0xb68cb268e9c0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	996	svchost.exe	2021-08-06 15:26:22.000000 
0xb68cb26cdcf0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	664	lsass.exe	2021-08-06 15:26:26.000000 
0xb68cb26cdcf0	TCPv6	::	49666	::	0	LISTENING	664	lsass.exe	2021-08-06 15:26:26.000000 
0xb68cb26dbad0	UDPv4	0.0.0.0	5353	*	0		1100	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb26dbad0	UDPv6	::	5353	*	0		1100	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb271e340	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	664	lsass.exe	2021-08-06 15:26:26.000000 
0xb68cb27f2d80	UDPv4	0.0.0.0	0	*	0		2136	svchost.exe	2021-08-06 15:26:41.000000 
0xb68cb28323e0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	508	svchost.exe	2021-08-06 15:26:31.000000 
0xb68cb28323e0	TCPv6	::	49667	::	0	LISTENING	508	svchost.exe	2021-08-06 15:26:31.000000 
0xb68cb2867460	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	508	svchost.exe	2021-08-06 15:26:31.000000 
0xb68cb28a88a0	UDPv4	0.0.0.0	4500	*	0		508	svchost.exe	2021-08-06 15:26:38.000000 
0xb68cb28a88a0	UDPv6	::	4500	*	0		508	svchost.exe	2021-08-06 15:26:38.000000 
0xb68cb28a8ec0	UDPv4	0.0.0.0	500	*	0		508	svchost.exe	2021-08-06 15:26:38.000000 
0xb68cb28a8ec0	UDPv6	::	500	*	0		508	svchost.exe	2021-08-06 15:26:38.000000 
0xb68cb28aad30	UDPv4	0.0.0.0	4500	*	0		508	svchost.exe	2021-08-06 15:26:38.000000 
0xb68cb29366a0	UDPv4	0.0.0.0	123	*	0		400	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb29366a0	UDPv6	::	123	*	0		400	svchost.exe	2021-08-06 15:26:55.000000 
0xb68cb2a89010	TCPv4	127.0.0.1	49678	127.0.0.1	49677	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb2b50010	TCPv4	127.0.0.1	49675	127.0.0.1	49676	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb2b74860	UDPv6	fe80::5caf:aaae:b035:834d	1900	*	0		3176	svchost.exe	2021-08-06 15:27:19.000000 
0xb68cb2c58a50	TCPv6	7f00:1::98b0:6cb1:8cb6:ffff	7001	::	0	LISTENING	4752	java.exe	2021-08-06 15:31:00.000000 
0xb68cb2cc8580	TCPv4	127.0.0.1	49680	127.0.0.1	49679	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb2ccc010	TCPv4	127.0.0.1	49679	127.0.0.1	49680	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb2cffb20	TCPv6	c0a8:9083::c8e0:70b2:8cb6:ffff	5556	::	0	LISTENING	4456	java.exe	2021-08-06 15:30:03.000000 
0xb68cb2cffc70	TCPv6	7f00:1::98b0:6cb1:8cb6:ffff	1527	::	0	LISTENING	4772	java.exe	2021-08-06 15:30:07.000000 
0xb68cb2e135c0	TCPv4	127.0.0.1	49686	127.0.0.1	49687	ESTABLISHED	4752	java.exe	2021-08-06 15:30:39.000000 
0xb68cb2e57ec0	TCPv6	c0a8:9083::c8e0:70b2:8cb6:ffff	7001	::	0	LISTENING	4752	java.exe	2021-08-06 15:31:00.000000 
0xb68cb2f2eb70	TCPv4	192.168.144.131	49674	51.103.5.186	443	ESTABLISHED	2676	explorer.exe	2021-08-06 15:29:22.000000 
0xb68cb31c6380	TCPv4	127.0.0.1	49682	127.0.0.1	49681	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb31c7010	TCPv4	127.0.0.1	49681	127.0.0.1	49682	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb31e5010	TCPv4	127.0.0.1	49687	127.0.0.1	49686	ESTABLISHED	4752	java.exe	2021-08-06 15:30:39.000000 
0xb68cb31f0d00	TCPv4	127.0.0.1	49677	127.0.0.1	49678	ESTABLISHED	4752	java.exe	2021-08-06 15:30:28.000000 
0xb68cb3236b90	UDPv4	0.0.0.0	0	*	0		4344	powershell.exe	2021-08-06 15:54:58.000000 
0xb68cb3236b90	UDPv6	::	0	*	0		4344	powershell.exe	2021-08-06 15:54:58.000000 
0xb68cb3237830	TCPv4	192.168.144.131	49869	192.168.144.129	1339	CLOSE_WAIT	4344	powershell.exe	2021-08-06 15:51:40.000000 
0xb68cb3266780	TCPv6	2001:0:2851:782c:d2:133b:3f57:6f7c	7001	::	0	LISTENING	4752	java.exe	2021-08-06 15:31:00.000000 
0xb68cb32ba4f0	TCPv6	::1	7001	::	0	LISTENING	4752	java.exe	2021-08-06 15:31:01.000000 
0xb68cb335c260	UDPv4	0.0.0.0	0	*	0		4344	powershell.exe	2021-08-06 15:54:58.000000 
0xb68cb33b4d00	TCPv4	192.168.144.131	80	192.168.144.1	27919	CLOSED	508	svchost.exe	2021-08-06 15:51:39.000000 
0xb68cb346d370	TCPv4	192.168.144.131	49903	192.168.144.129	1337	CLOSED	1488	svchost.exe	2021-08-06 16:17:52.000000 
0xb68cb34faa40	TCPv4	192.168.144.131	49901	192.168.144.129	1337	CLOSED	1488	svchost.exe	2021-08-06 16:15:52.000000 
