Pid      Process              Block      Variable                       Value
-------- -------------------- ---------- ------------------------------ -----
     548 smss.exe             0x00100000 CommonProgramFiles             
     548 smss.exe             0x00100000 Path                           C:\WINDOWS\System32
     548 smss.exe             0x00100000 ProgramFiles                   
     548 smss.exe             0x00100000 SystemDrive                    C:
     548 smss.exe             0x00100000 SystemRoot                     C:\WINDOWS
     612 csrss.exe            0x00100000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     612 csrss.exe            0x00100000 FP_NO_HOST_CHECK               NO
     612 csrss.exe            0x00100000 NUMBER_OF_PROCESSORS           1
     612 csrss.exe            0x00100000 OS                             Windows_NT
     612 csrss.exe            0x00100000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     612 csrss.exe            0x00100000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     612 csrss.exe            0x00100000 PROCESSOR_ARCHITECTURE         x86
     612 csrss.exe            0x00100000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
     612 csrss.exe            0x00100000 PROCESSOR_LEVEL                6
     612 csrss.exe            0x00100000 PROCESSOR_REVISION             1a05
     612 csrss.exe            0x00100000 SystemDrive                    C:
     612 csrss.exe            0x00100000 SystemRoot                     C:\WINDOWS
     612 csrss.exe            0x00100000 TEMP                           C:\WINDOWS\TEMP
     612 csrss.exe            0x00100000 TMP                            C:\WINDOWS\TEMP
     612 csrss.exe            0x00100000 windir                         C:\WINDOWS
     644 winlogon.exe         0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     644 winlogon.exe         0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
     644 winlogon.exe         0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     644 winlogon.exe         0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
     644 winlogon.exe         0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     644 winlogon.exe         0x00010000 FP_NO_HOST_CHECK               NO
     644 winlogon.exe         0x00010000 LOGONSERVER                    \\BOB-DCADFEDC55C
     644 winlogon.exe         0x00010000 NUMBER_OF_PROCESSORS           1
     644 winlogon.exe         0x00010000 OS                             Windows_NT
     644 winlogon.exe         0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     644 winlogon.exe         0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     644 winlogon.exe         0x00010000 PROCESSOR_ARCHITECTURE         x86
     644 winlogon.exe         0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
     644 winlogon.exe         0x00010000 PROCESSOR_LEVEL                6
     644 winlogon.exe         0x00010000 PROCESSOR_REVISION             1a05
     644 winlogon.exe         0x00010000 ProgramFiles                   C:\Program Files
     644 winlogon.exe         0x00010000 SystemDrive                    C:
     644 winlogon.exe         0x00010000 SystemRoot                     C:\WINDOWS
     644 winlogon.exe         0x00010000 TEMP                           C:\WINDOWS\TEMP
     644 winlogon.exe         0x00010000 TMP                            C:\WINDOWS\TEMP
     644 winlogon.exe         0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
     644 winlogon.exe         0x00010000 windir                         C:\WINDOWS
     688 services.exe         0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
     688 services.exe         0x00010000 CommonProgramFiles             C:\Program Files\Common Files
     688 services.exe         0x00010000 COMPUTERNAME                   BOB-DCADFEDC55C
     688 services.exe         0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
     688 services.exe         0x00010000 FP_NO_HOST_CHECK               NO
     688 services.exe         0x00010000 NUMBER_OF_PROCESSORS           1
     688 services.exe         0x00010000 OS                             Windows_NT
     688 services.exe         0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
     688 services.exe         0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
     688 services.exe         0x00010000 PROCESSOR_ARCHITECTURE         x86
     688 services.exe         0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 26 Stepping 5, GenuineIntel
     688 services.exe         0x00010000 PROCESSOR_LEVEL                6
