Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000001e6b0e8      1      1 ------ \Device\NamedPipe\browser
0x0000000001e6b180      2      1 ------ \Device\NamedPipe\browser
0x0000000001e6cd08      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Adobe\Acrobat 6.0\Reader\plug_ins\reflow.api
0x0000000001e6d028      1      1 ------ \Device\Afd\Endpoint
0x0000000001e6d0d8      3      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\Mozilla\Firefox\Profiles\6e0nnrv4.default\Cache\_CACHE_002_
0x0000000001e6d308      3      1 ------ \Device\Afd\Endpoint
0x0000000001e6d3f0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\hnetwiz.dll
0x0000000001e6e780      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Accessories\Communications\HyperTerminal.lnk
0x0000000001e6ea40      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\calc.exe
0x0000000001e6ee50      1      0 RW---- \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Adobe\Acrobat\6.0\Updater\udstore.js
0x0000000001e6f028      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\riched20.dll
0x0000000001e6f2d8      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\AdobeUM
0x0000000001e70890      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Games\Internet Spades.lnk
0x0000000001e723d8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001e72cb0      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Adobe\Acrobat 6.0\Reader\plug_ins\EWH32.api
0x0000000001e72d48      1      0 R--r-- \Device\HarddiskVolume1\Program Files\Adobe\Acrobat 6.0\Resource\Font\ZY______.PFB
0x0000000001e73d30      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001e73dc8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Accessories\desktop.ini
0x0000000001e73e60      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001e73ef8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Adobe\Acrobat 6.0\Reader\ActiveX\GbDetect.dll
0x0000000001e73f90      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\REGSVR32.EXE-25EEFE2F.pf
0x0000000001e742c8      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Temporary Internet Files\Content.IE5\KD474HKH\tr_23[2].js
0x0000000001e74a48      1      0 R--r-- \Device\HarddiskVolume1\Program Files\Adobe\Acrobat 6.0\Reader\plug_ins\Accessibility.api
0x0000000001e74bc8      2      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\NetworkService\Cookies\index.dat
0x0000000001e74ca0      1      0 RW---- \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Microsoft\CryptnetUrlCache\MetaData\74BFD122C0875EC75DBE5C6DB4C59019
0x0000000001e74ed0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\winmine.exe
0x0000000001e75028      3      1 ------ \Device\Afd\Endpoint
0x0000000001e756a8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001e75f90      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Mozilla Firefox\components\nsBrowserGlue.js
0x0000000001e76028      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Outlook Express\wab.exe
0x0000000001e76278      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\Cache\Adobe Reader 6.0\ENUBIG\Abcpy.ini
0x0000000001e764c8      1      1 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Acrobat 6.0\Resource\Font
0x0000000001e76740      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Set Program Access and Defaults.lnk
0x0000000001e76858      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Mozilla Firefox\components\xpinstal.dll
