Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0xffffbf0f6b67a080:wininit.exe                       568    484      1      0 2021-04-30 12:39:44 UTC+0000
. 0xffffbf0f6b70b1c0:fontdrvhost.ex                   884    568      5      0 2021-04-30 12:39:44 UTC+0000
. 0xffffbf0f6b6da080:services.exe                     712    568     11      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6d452080:svchost.exe                    5632    712      4      0 2021-04-30 17:39:51 UTC+0000
.. 0xffffbf0f6c60d2c0:svchost.exe                    3088    712     14      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c2e1080:svchost.exe                    2392    712      7      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f64a81080:svchost.exe                    1556    712      8      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c1af080:svchost.exe                    1540    712      3      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6d1a8300:svchost.exe                     432    712      7      0 2021-04-30 17:41:47 UTC+0000
.. 0xffffbf0f6c392280:spoolsv.exe                    2600    712      7      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6d0ce300:svchost.exe                    7212    712      2      0 2021-04-30 17:51:18 UTC+0000
.. 0xffffbf0f6be74340:svchost.exe                    1080    712      2      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6bed1080:svchost.exe                    1204    712      1      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c1ae300:svchost.exe                    1600    712      2      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6d592300:svchost.exe                    2116    712     12      0 2021-04-30 17:41:47 UTC+0000
.. 0xffffbf0f6d5bb300:svchost.exe                    3148    712     10      0 2021-04-30 17:41:24 UTC+0000
.. 0xffffbf0f6cd082c0:svchost.exe                    7112    712      0 ------ 2021-04-30 17:40:02 UTC+0000
.. 0xffffbf0f6ca04080:svchost.exe                    7436    712      5      0 2021-04-30 17:50:01 UTC+0000
.. 0xffffbf0f6c810080:svchost.exe                    3688    712      8      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6cc77080:svchost.exe                    4716    712      5      0 2021-04-30 17:39:49 UTC+0000
.. 0xffffbf0f6b7042c0:svchost.exe                     856    712     20      0 2021-04-30 12:39:44 UTC+0000
... 0xffffbf0f6d7492c0:YourPhone.exe                 5548    856     13      0 2021-04-30 17:39:50 UTC+0000
... 0xffffbf0f6d11d080:LockApp.exe                   5664    856     15      0 2021-04-30 17:39:51 UTC+0000
... 0xffffbf0f6d01c2c0:WmiPrvSE.exe                  5156    856      4      0 2021-04-30 17:43:47 UTC+0000
... 0xffffbf0f6d496080:smartscreen.ex                6716    856      9      0 2021-04-30 17:40:00 UTC+0000
... 0xffffbf0f6d0c02c0:WinStore.App.e                3712    856     12      0 2021-04-30 17:42:37 UTC+0000
... 0xffffbf0f6d5bd2c0:SystemSettings                1728    856     17      0 2021-04-30 17:43:07 UTC+0000
... 0xffffbf0f6d3220c0:RuntimeBroker.                5144    856     19      0 2021-04-30 17:39:50 UTC+0000
... 0xffffbf0f6d14f080:RuntimeBroker.                5792    856      3      0 2021-04-30 17:39:51 UTC+0000
... 0xffffbf0f6c5a9300:StartMenuExper                4828    856      8      0 2021-04-30 17:39:49 UTC+0000
... 0xffffbf0f6d39a080:dllhost.exe                   5844    856     10      0 2021-04-30 17:40:12 UTC+0000
... 0xffffbf0f6d0e9080:ShellExperienc                2072    856     15      0 2021-04-30 17:42:10 UTC+0000
... 0xffffbf0f6cfd6080:TextInputHost.                4912    856     10      0 2021-04-30 17:40:12 UTC+0000
... 0xffffbf0f6d42a080:RuntimeBroker.                5940    856      7      0 2021-04-30 17:39:51 UTC+0000
... 0xffffbf0f6cfeb0c0:RuntimeBroker.                2924    856      1      0 2021-04-30 17:39:49 UTC+0000
... 0xffffbf0f6d577300:RuntimeBroker.                3492    856      1      0 2021-04-30 17:42:37 UTC+0000
... 0xffffbf0f6ce1f2c0:RuntimeBroker.                2296    856      6      0 2021-04-30 17:42:10 UTC+0000
... 0xffffbf0f6d52b2c0:ApplicationFra                3544    856      6      0 2021-04-30 17:42:37 UTC+0000
... 0xffffbf0f6cff7080:SearchApp.exe                 5104    856     54      0 2021-04-30 17:39:50 UTC+0000
... 0xffffbf0f6d0c5300:RuntimeBroker.                2388    856      1      0 2021-04-30 17:40:36 UTC+0000
.. 0xffffbf0f6c39d080:svchost.exe                    2676    712      5      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6c0d3080:svchost.exe                    2168    712      9      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6bff4080:VBoxService.ex                 1660    712     11      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c58f0c0:MsMpEng.exe                    1156    712     32      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6becd300:svchost.exe                    1164    712      5      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6bff5080:svchost.exe                    1684    712      5      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6d8d3340:SecurityHealth                 6808    712      9      0 2021-04-30 17:40:00 UTC+0000
.. 0xffffbf0f6d80a2c0:svchost.exe                    1708    712      7      0 2021-04-30 17:41:48 UTC+0000
.. 0xffffbf0f6ce02300:SearchIndexer.                 3764    712     31      0 2021-04-30 17:39:50 UTC+0000
.. 0xffffbf0f6c6c72c0:svchost.exe                    3264    712     11      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c859080:svchost.exe                    4128    712      5      0 2021-04-30 17:39:48 UTC+0000
.. 0xffffbf0f6c5ee2c0:svchost.exe                    2764    712      6      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c5f6340:svchost.exe                    2772    712      1      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c280080:svchost.exe                    2284    712     11      0 2021-04-30 17:39:46 UTC+0000
... 0xffffbf0f6a53a080:audiodg.exe                   6160   2284      5      0 2021-04-30 17:49:52 UTC+0000
.. 0xffffbf0f6bff1300:SgrmBroker.exe                 6696    712      7      0 2021-04-30 17:41:48 UTC+0000
.. 0xffffbf0f6c03d340:svchost.exe                    1784    712      4      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6c5912c0:svchost.exe                    2812    712     11      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c5e9080:svchost.exe                    2824    712      3      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c03b080:svchost.exe                    1804    712      5      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6bf192c0:svchost.exe                    1296    712      7      0 2021-04-30 12:39:44 UTC+0000
... 0xffffbf0f6c85d080:taskhostw.exe                 3808   1296      8      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6bfed080:svchost.exe                    2840    712      4      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c1b1340:svchost.exe                    1668    712      6      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6ca68080:WUDFHost.exe                   4408    712      8      0 2021-04-30 17:51:09 UTC+0000
.. 0xffffbf0f6bfee080:svchost.exe                    1824    712      3      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6d4870c0:svchost.exe                    5168    712      0 ------ 2021-04-30 17:42:46 UTC+0000
.. 0xffffbf0f6d14e2c0:svchost.exe                     808    712      8      0 2021-04-30 17:41:49 UTC+0000
.. 0xffffbf0f6ce550c0:NisSrv.exe                     5084    712      5      0 2021-04-30 17:39:50 UTC+0000
.. 0xffffbf0f6bf20080:svchost.exe                    1336    712      8      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6b78a2c0:svchost.exe                     320    712      6      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c8b72c0:svchost.exe                    3920    712      5      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6ad8c080:svchost.exe                    3412    712      1      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6d9d72c0:svchost.exe                    6200    712     15      0 2021-04-30 17:39:52 UTC+0000
.. 0xffffbf0f6c0b1340:svchost.exe                    1880    712      2      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6be1c080:svchost.exe                    1376    712      6      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c2b8080:svchost.exe                    2404    712      3      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6cb5d080:svchost.exe                    4456    712      5      0 2021-04-30 17:39:48 UTC+0000
.. 0xffffbf0f6c2e6080:svchost.exe                    2420    712      6      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6becc080:svchost.exe                    1172    712      3      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6be77080:svchost.exe                    1088    712      3      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c0d4340:svchost.exe                    1928    712      6      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6d392080:svchost.exe                    6380    712      2      0 2021-04-30 17:41:47 UTC+0000
.. 0xffffbf0f6c568080:svchost.exe                    2964    712      4      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6bf9a0c0:svchost.exe                    1440    712      4      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c0d62c0:svchost.exe                    1960    712      2      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6bfa52c0:svchost.exe                    1452    712      8      0 2021-04-30 12:39:44 UTC+0000
... 0xffffbf0f6c7d3080:sihost.exe                    3608   1452     13      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c2c82c0:svchost.exe                    2480    712      8      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6c80f080:svchost.exe                    3656    712     10      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6d909340:svchost.exe                    6072    712      2      0 2021-04-30 17:39:51 UTC+0000
.. 0xffffbf0f6c5b02c0:svchost.exe                    3008    712      9      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6d50f340:svchost.exe                    7704    712      3      0 2021-04-30 17:51:15 UTC+0000
.. 0xffffbf0f6c39b080:svchost.exe                    3016    712     16      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6b785340:svchost.exe                     976    712     12      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6c5d92c0:svchost.exe                    3028    712      7      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6c8fd300:svchost.exe                    3988    712      4      0 2021-04-30 17:39:47 UTC+0000
... 0xffffbf0f6c957340:ctfmon.exe                    3152   3988     11      0 2021-04-30 17:39:48 UTC+0000
.. 0xffffbf0f6c1342c0:svchost.exe                    3036    712     11      0 2021-04-30 17:39:47 UTC+0000
.. 0xffffbf0f6a9e2080:svchost.exe                    8160    712      4      0 2021-04-30 17:51:09 UTC+0000
.. 0xffffbf0f6d5a92c0:svchost.exe                    4432    712      5      0 2021-04-30 17:41:48 UTC+0000
.. 0xffffbf0f6c32a080:svchost.exe                    2632    712     13      0 2021-04-30 17:39:46 UTC+0000
.. 0xffffbf0f6c5ae080:svchost.exe                    5624    712     18      0 2021-04-30 17:41:47 UTC+0000
. 0xffffbf0f6b6fb0c0:lsass.exe                        736    568     10      0 2021-04-30 12:39:44 UTC+0000
 0xffffbf0f6adb6080:csrss.exe                         492    484     13      0 2021-04-30 12:39:44 UTC+0000
 0xffffbf0f6b7ba080:dwm.exe                           560    668     21      0 2021-04-30 12:39:44 UTC+0000
. 0xffffbf0f6b681080:csrss.exe                        584    560     16      0 2021-04-30 12:39:44 UTC+0000
. 0xffffbf0f6b6db080:winlogon.exe                     668    560      5      0 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6b7b7100:LogonUI.exe                     564    668      0 ------ 2021-04-30 12:39:44 UTC+0000
.. 0xffffbf0f6ca8f080:userinit.exe                   4296    668      0 ------ 2021-04-30 17:39:48 UTC+0000
... 0xffffbf0f6ca662c0:explorer.exe                  4352   4296     82      0 2021-04-30 17:39:48 UTC+0000
.... 0xffffbf0f6d493080:SecurityHealth               6772   4352      1      0 2021-04-30 17:40:00 UTC+0000
.... 0xffffbf0f6d186080:VBoxTray.exe                 6884   4352     11      0 2021-04-30 17:40:01 UTC+0000
.... 0xffffbf0f6d4262c0:OneDrive.exe                 6988   4352     26      0 2021-04-30 17:40:01 UTC+0000
.... 0xffffbf0f6d53e080:chrome.exe                   1328   4352     26      0 2021-04-30 17:44:52 UTC+0000
..... 0xffffbf0f6d2ea340:chrome.exe                  5888   1328     13      0 2021-04-30 17:44:57 UTC+0000
..... 0xffffbf0f667f1300:chrome.exe                  4108   1328     12      0 2021-04-30 17:48:07 UTC+0000
..... 0xffffbf0f6a897080:chrome.exe                  5492   1328      7      0 2021-04-30 17:44:53 UTC+0000
..... 0xffffbf0f6d182080:chrome.exe                  3380   1328      6      0 2021-04-30 17:48:07 UTC+0000
..... 0xffffbf0f6a9e7080:chrome.exe                  2432   1328     19      0 2021-04-30 17:44:53 UTC+0000
..... 0xffffbf0f6be38340:chrome.exe                  4508   1328     10      0 2021-04-30 17:44:53 UTC+0000
..... 0xffffbf0f6d748080:chrome.exe                  6764   1328      7      0 2021-04-30 17:44:52 UTC+0000
..... 0xffffbf0f6d591300:chrome.exe                   460   1328     12      0 2021-04-30 17:48:07 UTC+0000
..... 0xffffbf0f6cbc5080:chrome.exe                  1840   1328     12      0 2021-04-30 17:44:53 UTC+0000
.... 0xffffbf0f6d97f2c0:powershell.exe               5096   4352     12      0 2021-04-30 17:51:19 UTC+0000
..... 0xffffbf0f6ab952c0:conhost.exe                 4968   5096      5      0 2021-04-30 17:51:20 UTC+0000
..... 0xffffbf0f6a707340:FTK Imager.exe              3536   5096     20      0 2021-04-30 17:51:31 UTC+0000
.. 0xffffbf0f6b7091c0:fontdrvhost.ex                  892    668      5      0 2021-04-30 12:39:44 UTC+0000
 0xffffbf0f6b7b7100:LogonUI.exe                       564    668      0 ------ 2021-04-30 12:39:44 UTC+0000
 0xffffbf0f6ca8f080:userinit.exe                     4296    668      0 ------ 2021-04-30 17:39:48 UTC+0000
 0xffffbf0f6b7091c0:fontdrvhost.ex                    892    668      5      0 2021-04-30 12:39:44 UTC+0000
 0xffffbf0f64a63080:System                              4      0    132      0 2021-04-30 12:39:40 UTC+0000
. 0xffffbf0f64bc6040:Registry                         108      4      4      0 2021-04-30 12:39:38 UTC+0000
. 0xffffbf0f6c0b0040:MemCompression                  1904      4     34      0 2021-04-30 17:39:46 UTC+0000
. 0xffffbf0f66967040:smss.exe                         396      4      2      0 2021-04-30 12:39:40 UTC+0000
