2021-04-30 17:52:19 UTC+0000|[LIVE RESPONSE]| (System time)|
2021-04-30 17:41:48 UTC+0000|[PROCESS]| SgrmBroker.exe| PID: 6696/PPID: 712/POffset: 0x28f9c300
2021-04-30 12:39:43 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER| SgrmBroker.exe PID: 6696/PPID: 712/POffset: 0x28f9c300
2019-12-07 09:15:08 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| SgrmBroker.exe PID: 6696/PPID: 712/POffset: 0x28f9c300
2021-04-30 17:51:19 UTC+0000|[Handle (Key)]| MACHINE| SgrmBroker.exe PID: 6696/PPID: 712/POffset: 0x28f9c300
2021-04-25 18:44:31 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS| SgrmBroker.exe PID: 6696/PPID: 712/POffset: 0x28f9c300
2092-04-28 08:19:05 UTC+0000|[PE HEADER (exe)]| SgrmBroker.exe| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ff6ab070000
2092-04-28 08:19:05 UTC+0000|[PE DEBUG]| SgrmBroker.exe| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ff6ab070000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (exe)]| SgrmBroker.exe| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ff6ab070000
2052-11-24 01:54:30 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd89810000
2052-11-24 01:54:30 UTC+0000|[PE DEBUG]| ntdll.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd89810000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| ntdll.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd89810000
2010-06-24 15:35:53 UTC+0000|[PE HEADER (dll)]| RPCRT4.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87d30000
2010-06-24 15:35:53 UTC+0000|[PE DEBUG]| RPCRT4.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87d30000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| RPCRT4.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87d30000
2078-11-15 13:09:36 UTC+0000|[PE HEADER (dll)]| sspicli.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86e40000
-|[PE DEBUG]| sspicli.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86e40000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| sspicli.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86e40000
1984-01-21 20:39:14 UTC+0000|[PE HEADER (dll)]| NTASN1.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86920000
1984-01-21 20:39:14 UTC+0000|[PE DEBUG]| NTASN1.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86920000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| NTASN1.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86920000
2000-05-19 15:25:03 UTC+0000|[PE HEADER (dll)]| msvcp_win.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87320000
-|[PE DEBUG]| msvcp_win.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87320000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| msvcp_win.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87320000
1973-05-30 05:06:54 UTC+0000|[PE HEADER (dll)]| tbs.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd7f470000
1973-05-30 05:06:54 UTC+0000|[PE DEBUG]| tbs.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd7f470000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| tbs.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd7f470000
2015-11-20 22:31:21 UTC+0000|[PE HEADER (dll)]| msvcrt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87e60000
-|[PE DEBUG]| msvcrt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87e60000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| msvcrt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87e60000
2008-01-08 01:07:38 UTC+0000|[PE HEADER (dll)]| sechost.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87870000
2008-01-08 01:07:38 UTC+0000|[PE DEBUG]| sechost.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87870000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| sechost.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87870000
2017-05-04 19:43:50 UTC+0000|[PE HEADER (dll)]| UMPDC.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86da0000
2017-05-04 19:43:50 UTC+0000|[PE DEBUG]| UMPDC.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86da0000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| UMPDC.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86da0000
1988-01-13 12:23:51 UTC+0000|[PE HEADER (dll)]| ncrypt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86960000
1988-01-13 12:23:51 UTC+0000|[PE DEBUG]| ncrypt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86960000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| ncrypt.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86960000
2061-01-03 14:54:41 UTC+0000|[PE HEADER (dll)]| powrprof.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86dc0000
2061-01-03 14:54:41 UTC+0000|[PE DEBUG]| powrprof.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86dc0000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| powrprof.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd86dc0000
2046-05-23 23:27:27 UTC+0000|[PE HEADER (dll)]| bcryptprimitives.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd877f0000
2046-05-23 23:27:27 UTC+0000|[PE DEBUG]| bcryptprimitives.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd877f0000
2021-04-30 17:41:48 UTC+0000|[DLL LOADTIME (dll)]| bcryptprimitives.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd877f0000
1995-02-01 11:59:59 UTC+0000|[PE HEADER (dll)]| KERNELBASE.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87520000
1995-02-01 11:59:59 UTC+0000|[PE DEBUG]| KERNELBASE.dll| Process: SgrmBroker.exe/PID: 6696/PPID: 712/Process POffset: 0x28f9c300/DLL Base: 0x7ffd87520000
