Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000000141280      4      0 R--r-d \Device\VBoxMiniRdr\Vboxsvr\101\FTK-Imager\ADIsoDLL.dll
0x0000000000142518      1      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\Manifests\x86_microsoft-windows-d..t-server-deployment_31bf3856ad364e35_6.0.6001.18000_none_c88f18bdf87ae612.manifest
0x00000000001428a8      1      0 R--rwd \Device\HarddiskVolume1\Windows\winsxs\Manifests\x86_tsportalwebpart_31bf3856ad364e35_6.0.6001.18000_none_3495f225ef9b2b59.manifest
0x0000000000d47400      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_32v1vnth0nstfcf66lfvivqcv1
0x0000000000d47588      1      0 R--rwd \Device\HarddiskVolume1\xampp\mysql\data\phpmyadmin\pma_table_info.frm
0x0000000000d47820      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_mt9rh8euo34bpav3v4dk5k4ph6
0x0000000000d478c8      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_r5ntbchovj0g1i4v9pnj8bgq93
0x0000000000d47db8      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_389b8r221006f5b12i966d42t5
0x0000000000d47ed8      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_u4kttvvdlakh07gs9cq25u8ro6
0x0000000000daca48      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_j9914liitteljvukerdglp0l21
0x0000000000dacce8      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_386jqlq85g29el833imij4b9t2
0x0000000000dacf80      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_7eboc0i1n8tuu2jatdl7sfebk0
0x0000000000dbc0d0      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_cnkd45gk665sbulrnn0ncbuaq7
0x0000000000dbc310      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_13oilsj29vqambbg4qpa79aho5
0x0000000000dbc7a0      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_f447l3rd543cpr8ubqooir1sh7
0x0000000000dbcaf0      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_rb8gsfocci4tppgc6nfn1k3sr0
0x0000000000dbcc10      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_mi6hcrvm8ubi51sd6tlk8stmk1
0x0000000000dbcd58      3      1 RW-rwd \Device\HarddiskVolume1\xampp\mysql\data\phpmyadmin\pma_designer_coords.MYI
0x0000000000dbcf80      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_eoubm6rqoujntglnkp1joho2r5
0x0000000000e97028      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_io8mkf9j5cqlhk7q1tduiu9qa0
0x0000000000e97368      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_jchrmo16ru497sck6ovae56ni5
0x0000000000e975a0      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_9ffacun463mc9h9jtui2vg8n54
0x0000000000e97a90      8      0 RW-rw- \Device\HarddiskVolume1\xampp\tmp\sess_vj8q6lv6iiqaci22ufucuhq614
