Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x82f57910 System                    4      0    105      504 ------      0 2015-08-23 20:27:20 UTC+0000                                 
0x838382d0 smss.exe                420      4      4       28 ------      0 2015-08-23 20:27:20 UTC+0000                                 
0x83912208 csrss.exe               484    472     11      400      0      0 2015-08-23 20:27:22 UTC+0000                                 
0x8392d530 csrss.exe               524    516      9      536      1      0 2015-08-23 20:27:28 UTC+0000                                 
0x8392c9f8 wininit.exe             532    472      3      102      0      0 2015-08-23 20:27:28 UTC+0000                                 
0x8387ed90 winlogon.exe            560    516      4      125      1      0 2015-08-23 20:27:28 UTC+0000                                 
0x8393bd90 services.exe            608    532      7      238      0      0 2015-08-23 20:29:06 UTC+0000                                 
0x83942020 lsass.exe               620    532     19      628      0      0 2015-08-23 20:29:18 UTC+0000                                 
0x83945d90 lsm.exe                 628    532     10      166      0      0 2015-08-23 20:29:19 UTC+0000                                 
0x839d4020 svchost.exe             792    608      8      305      0      0 2015-08-23 20:29:45 UTC+0000                                 
0x839ded90 VBoxService.exe         836    608      8      115      0      0 2015-08-23 20:29:46 UTC+0000                                 
0x839f0020 svchost.exe             892    608      7      262      0      0 2015-08-23 10:29:52 UTC+0000                                 
0x83a06020 svchost.exe             984    608     15      306      0      0 2015-08-23 10:29:52 UTC+0000                                 
0x83a18020 svchost.exe            1012    608      6      147      0      0 2015-08-23 10:29:53 UTC+0000                                 
0x83a0eb88 svchost.exe            1024    608     37      913      0      0 2015-08-23 10:29:53 UTC+0000                                 
0x83a1e020 SLsvc.exe              1040    608      4       75      0      0 2015-08-23 10:29:53 UTC+0000                                 
0x83a35630 svchost.exe            1108    608     23      450      0      0 2015-08-23 10:29:54 UTC+0000                                 
0x83a365d0 svchost.exe            1176    608     22      257      0      0 2015-08-23 10:29:56 UTC+0000                                 
0x83a3e020 svchost.exe            1204    608     18      518      0      0 2015-08-23 10:29:56 UTC+0000                                 
0x838ed8c8 svchost.exe            1352    608     18      271      0      0 2015-08-23 10:29:58 UTC+0000                                 
0x83acad90 spoolsv.exe            1476    608     17      282      0      0 2015-08-23 10:30:04 UTC+0000                                 
0x83adfd90 svchost.exe            1512    608      9      117      0      0 2015-08-23 10:30:04 UTC+0000                                 
0x83ae4af0 svchost.exe            1556    608      5      123      0      0 2015-08-23 10:30:05 UTC+0000                                 
0x83ae6c28 svchost.exe            1568    608      3       73      0      0 2015-08-23 10:30:05 UTC+0000                                 
0x83af2d90 svchost.exe            1680    608      5       44      0      0 2015-08-23 10:30:05 UTC+0000                                 
0x83dca020 taskeng.exe            1984   1024      5      135      0      0 2015-08-23 10:30:08 UTC+0000                                 
0x83b2b020 taskeng.exe            1444   1024     10      245      1      0 2015-08-23 10:30:34 UTC+0000                                 
0x83e2f168 dwm.exe                1688   1176      3       77      1      0 2015-08-23 10:30:34 UTC+0000                                 
0x83e368e0 explorer.exe            816    676     22      756      1      0 2015-08-23 10:30:34 UTC+0000                                 
0x83e652a0 VBoxTray.exe           1816    816      8      114      1      0 2015-08-23 10:30:38 UTC+0000                                 
0x83e7b7f8 cmd.exe                 612    816      1       72      1      0 2015-08-23 10:30:44 UTC+0000                                 
0x83f84d90 svchost.exe            2424    608      9      227      0      0 2015-08-23 10:31:51 UTC+0000                                 
0x83f8e5d0 msdtc.exe              2620    608     11      165      0      0 2015-08-23 10:32:10 UTC+0000                                 
0x83faa020 xampp-control.e        2768    816      2      119      1      0 2015-08-23 10:32:17 UTC+0000                                 
0x83e4d7c0 httpd.exe              2796   2768      1       92      1      0 2015-08-23 10:32:21 UTC+0000                                 
0x83f9ec70 mysqld.exe             2804   2768     23      570      1      0 2015-08-23 10:32:23 UTC+0000                                 
0x83fd5200 FileZillaServer        2856   2768      5       35      1      0 2015-08-23 10:32:25 UTC+0000                                 
0x83fd77a8 httpd.exe              2880   2796    155      483      1      0 2015-08-23 10:32:26 UTC+0000                                 
0x8427c730 wuauclt.exe            2516   1024      2      140      1      0 2015-09-02 09:01:13 UTC+0000                                 
0x84259100 cmd.exe                1972    816      1       19      1      0 2015-09-02 09:28:30 UTC+0000                                 
0x8324cb70 TrustedInstalle        3848    608      5      110      0      0 2015-09-03 10:03:06 UTC+0000                                 
0x83f68300 FTK Imager.exe         2120    816     13      382      1      0 2015-09-03 10:03:37 UTC+0000                                 
