Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000ba033d21f4c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d21fc30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d2203b0  32740      1 ------ \Device\Afd\Endpoint
0x0000ba033d221950      7      0 R--r-d \Device\HarddiskVolume4\Windows\System32\fundisc.dll
0x0000ba033d221b40     16      0 R--r-- \Device\HarddiskVolume4\Windows\System32\drivers\ataport.sys
0x0000ba033d2232e0     16      0 R--r-d \Device\HarddiskVolume4\Program Files\Windows Defender\MsMpLics.dll
0x0000ba033d2235d0  32720      1 ------ \Device\Afd\Endpoint
0x0000ba033d224ca0     16      0 R--r-- \Device\HarddiskVolume4\Windows\System32\drivers\ntfs.sys
0x0000ba033d225750     16      0 RW-rw- \Device\HarddiskVolume4\Windows\Panther\UnattendGC\diagerr.xml
0x0000ba033d2259c0  32300      1 ------ \Device\Afd\Endpoint
0x0000ba033d2278d0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d228740  26941      1 ------ \Device\Afd\Endpoint
0x0000ba033d2294c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d229c30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d22b920     16      0 R--r-- \Device\HarddiskVolume4\Windows\System32\drivers\vsock.sys
0x0000ba033d22d7a0     16      0 R--r-d \Device\HarddiskVolume4\Windows\System32\en-US\icsvc.dll.mui
0x0000ba033d231940      3      0 RW-rwd \Device\HarddiskVolume4\$MftMirr
0x0000ba033d2954c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d295c30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d2964c0  32760      1 ------ \Device\Afd\Endpoint
0x0000ba033d296c30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d2974c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d297c30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d2984c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d298c30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d2994c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d299c30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29a4c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29ac30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29b4c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29bc30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29c4c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29cc30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29d4c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29dc30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29e4c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29ec30  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29f4c0  32762      1 ------ \Device\Afd\Endpoint
0x0000ba033d29fc30  32762      1 ------ \Device\Afd\Endpoint
