Virtual            Physical           Name
------------------ ------------------ ----
0xffff860c0e681000 0x000000012bfa0000 \??\C:\Windows\AppCompat\Programs\Amcache.hve
0xffff860c0e915000 0x00000000047de000 \??\C:\Users\Administrator\ntuser.dat
0xffff860c0e9ff000 0x000000000eb6a000 \??\C:\Users\Administrator\AppData\Local\Microsoft\Windows\UsrClass.dat
0xffff860c0ed2c000 0x0000000012a19000 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.ShellExperienceHost_10.0.14393.693_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat
0xffff860c0edbd000 0x00000000134fe000 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Cortana_1.7.0.14393_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat
0xffff860c0f29e000 0x0000000013cec000 \??\C:\Users\Administrator\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat
0xffff860c0f365000 0x0000000013d35000 \??\C:\Users\Administrator\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat
0xffff860c07c28000 0x000000000020c000 [no name]
0xffff860c07c41000 0x0000000000f9a000 \REGISTRY\MACHINE\SYSTEM
0xffff860c07c83000 0x000000010c3b2000 \REGISTRY\MACHINE\HARDWARE
0xffff860c09a71000 0x0000000004644000 \Device\HarddiskVolume2\EFI\Microsoft\Boot\BCD
0xffff860c0831e000 0x00000000040f7000 \SystemRoot\System32\Config\SOFTWARE
0xffff860c0dbc4000 0x000000000220b000 \SystemRoot\System32\Config\DEFAULT
0xffff860c09545000 0x0000000109934000 \SystemRoot\System32\Config\SECURITY
0xffff860c0959f000 0x000000010a3bf000 \SystemRoot\System32\Config\SAM
0xffff860c0dbcc000 0x000000010b689000 \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT
0xffff860c0dcb6000 0x000000010d3f8000 \SystemRoot\System32\Config\BBI
0xffff860c0dcba000 0x000000010d411000 \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT
