Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0xffffba033eadb280:csrss.exe                         416    404     11      0 2021-11-20 14:11:15 UTC+0000
 0xffffba033eebf080:wininit.exe                       540    404      1      0 2021-11-20 14:11:22 UTC+0000
. 0xffffba033ef77080:services.exe                     664    540      5      0 2021-11-20 14:11:35 UTC+0000
.. 0xffffba033ee96800:svchost.exe                     512    664     14      0 2021-11-20 14:12:24 UTC+0000
.. 0xffffba033f7d1800:vm3dservice.ex                 1280    664      2      0 2021-11-20 14:13:35 UTC+0000
... 0xffffba033f6c7080:vm3dservice.ex                2184   1280      2      0 2021-11-20 14:14:03 UTC+0000
.. 0xffffba033f3d3080:svchost.exe                    1544    664      6      0 2021-11-20 14:13:02 UTC+0000
.. 0xffffba033ee9c800:svchost.exe                     912    664      8      0 2021-11-20 14:12:16 UTC+0000
.. 0xffffba033f493080:msdtc.exe                      1560    664      9      0 2021-11-20 14:16:17 UTC+0000
.. 0xffffba033ee92800:svchost.exe                     796    664     15      0 2021-11-20 14:12:27 UTC+0000
.. 0xffffba034180a540:Microsoft.Acti                 1456    664     10      0 2021-11-20 14:16:30 UTC+0000
.. 0xffffba033f6d6800:spoolsv.exe                    1832    664     10      0 2021-11-20 14:13:27 UTC+0000
.. 0xffffba033f7bd800:svchost.exe                    1884    664      9      0 2021-11-20 14:13:32 UTC+0000
.. 0xffffba033f79f800:dns.exe                        1964    664     21      0 2021-11-20 14:13:33 UTC+0000
.. 0xffffba033f7c9800:dfssvc.exe                     1540    664     11      0 2021-11-20 14:13:38 UTC+0000
.. 0xffffba033f7a75c0:wlms.exe                        688    664      2      0 2021-11-20 14:13:35 UTC+0000
.. 0xffffba033ff59080:svchost.exe                    1976    664      8      0 2021-11-20 14:20:05 UTC+0000
.. 0xffffba033f3fa800:svchost.exe                    1220    664     10      0 2021-11-20 14:12:42 UTC+0000
.. 0xffffba033f3fc800:svchost.exe                    1228    664     23      0 2021-11-20 14:12:42 UTC+0000
.. 0xffffba033ef56800:svchost.exe                    1100    664     39      0 2021-11-20 14:12:34 UTC+0000
.. 0xffffba033ee90800:svchost.exe                     848    664     31      0 2021-11-20 14:12:27 UTC+0000
.. 0xffffba033f7cb800:MsMpEng.exe                    1272    664     34      0 2021-11-20 14:13:36 UTC+0000
.. 0xffffba033f7e76c0:svchost.exe                    1956    664      8      0 2021-11-20 14:13:33 UTC+0000
.. 0xffffba033efb4080:svchost.exe                     860    664     15      0 2021-11-20 14:12:14 UTC+0000
... 0xffffba033f7af680:RuntimeBroker.                1432    860      8      0 2021-11-20 14:20:04 UTC+0000
... 0xffffba03418aa800:ShellExperienc                2644    860     28      0 2021-11-20 14:20:18 UTC+0000
... 0xffffba0341ae5800:SearchUI.exe                  3160    860     15      0 2021-11-20 14:20:20 UTC+0000
... 0xffffba033f4a7080:wsmprovhost.ex                1632    860     22      0 2021-11-20 15:06:08 UTC+0000
.... 0xffffba03419b7800:svchost.exe                  3140   1632      5      0 2021-11-20 15:06:52 UTC+0000
.. 0xffffba033ee98800:svchost.exe                     356    664     41      0 2021-11-20 14:12:24 UTC+0000
... 0xffffba033f499800:taskhostw.exe                 2140    356     10      0 2021-11-20 14:20:05 UTC+0000
... 0xffffba0341a1b700:sihost.exe                      80    356      9      0 2021-11-20 14:20:05 UTC+0000
... 0xffffba0341887800:explorer.exe                  2940    356     50      0 2021-11-20 14:20:11 UTC+0000
.... 0xffffba034186a800:vmtoolsd.exe                 3672   2940      8      0 2021-11-20 14:20:42 UTC+0000
.. 0xffffba033f7d7800:ismserv.exe                    2020    664      8      0 2021-11-20 14:13:34 UTC+0000
. 0xffffba033ef746c0:lsass.exe                        672    540     36      0 2021-11-20 14:11:38 UTC+0000
 0xffffba033d2ae040:System                              4      0    119      0 2021-11-20 14:10:38 UTC+0000
. 0xffffba033e53e800:smss.exe                         292      4      2      0 2021-11-20 14:10:39 UTC+0000
.. 0xffffba033eec6080:smss.exe                        508    292      0 ------ 2021-11-20 14:11:21 UTC+0000
... 0xffffba033eec0580:csrss.exe                      516    508     11      0 2021-11-20 14:11:22 UTC+0000
... 0xffffba033eefa080:winlogon.exe                   572    508      2      0 2021-11-20 14:11:22 UTC+0000
.... 0xffffba0341825340:userinit.exe                 2288    572      0 ------ 2021-11-20 14:20:10 UTC+0000
.... 0xffffba033f362080:dwm.exe                      1016    572     14      0 2021-11-20 14:12:23 UTC+0000
 0xffffba0341950800:MpCmdRun.exe                     1936   3064      6      0 2021-11-20 14:16:22 UTC+0000
