2021-11-20 15:07:08 UTC+0000|[LIVE RESPONSE]| (System time)|
2021-11-20 14:11:22 UTC+0000|[PROCESS]| wininit.exe| PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-20 14:15:45 UTC+0000|[Handle (Key)]| MACHINE| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 14:39:58 UTC+0000|[Handle (Key)]| USER\.DEFAULT\CONTROL PANEL\INTERNATIONAL| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE\ALTERNATE SORTS| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LANGUAGE GROUPS| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-20 14:11:40 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:16:41 UTC+0000|[Handle (Key)]| USER\.DEFAULT\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\IDS| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5| wininit.exe PID: 540/PPID: 404/POffset: 0xc26c1080
2016-07-16 02:14:18 UTC+0000|[PE HEADER (exe)]| wininit.exe| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7ff637e50000
2016-07-16 02:14:18 UTC+0000|[PE DEBUG]| wininit.exe| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7ff637e50000
2021-11-20 14:11:22 UTC+0000|[DLL LOADTIME (exe)]| wininit.exe| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7ff637e50000
2016-11-11 08:59:43 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff55180000
2016-11-11 08:59:43 UTC+0000|[PE DEBUG]| ntdll.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff55180000
2021-11-20 14:11:22 UTC+0000|[DLL LOADTIME (dll)]| ntdll.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff55180000
2016-07-16 02:26:15 UTC+0000|[PE HEADER (dll)]| msvcrt.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54a30000
-|[PE DEBUG]| msvcrt.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54a30000
2021-11-20 14:11:28 UTC+0000|[DLL LOADTIME (dll)]| msvcrt.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54a30000
2016-07-16 02:22:52 UTC+0000|[PE HEADER (dll)]| sechost.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54740000
2016-07-16 02:22:52 UTC+0000|[PE DEBUG]| sechost.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54740000
2021-11-20 14:11:23 UTC+0000|[DLL LOADTIME (dll)]| sechost.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54740000
2016-08-06 03:26:07 UTC+0000|[PE HEADER (dll)]| RPCRT4.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54b40000
2016-08-06 03:26:07 UTC+0000|[PE DEBUG]| RPCRT4.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54b40000
2021-11-20 14:11:23 UTC+0000|[DLL LOADTIME (dll)]| RPCRT4.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54b40000
2016-07-16 02:22:57 UTC+0000|[PE HEADER (dll)]| mswsock.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff50e60000
2016-07-16 02:22:57 UTC+0000|[PE DEBUG]| mswsock.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff50e60000
2021-11-20 14:12:17 UTC+0000|[DLL LOADTIME (dll)]| mswsock.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff50e60000
2016-12-09 09:41:15 UTC+0000|[PE HEADER (dll)]| gdi32full.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51670000
2016-12-09 09:41:15 UTC+0000|[PE DEBUG]| gdi32full.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51670000
2021-11-20 14:11:28 UTC+0000|[DLL LOADTIME (dll)]| gdi32full.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51670000
2016-07-16 02:21:29 UTC+0000|[PE HEADER (dll)]| KERNEL32.DLL| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54c70000
2016-07-16 02:21:29 UTC+0000|[PE DEBUG]| KERNEL32.DLL| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54c70000
2021-11-20 14:11:22 UTC+0000|[DLL LOADTIME (dll)]| KERNEL32.DLL| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54c70000
2016-09-15 16:34:44 UTC+0000|[PE HEADER (dll)]| WS2_32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54d20000
2016-09-15 16:34:44 UTC+0000|[PE DEBUG]| WS2_32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54d20000
2021-11-20 14:12:17 UTC+0000|[DLL LOADTIME (dll)]| WS2_32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff54d20000
2016-12-09 09:28:25 UTC+0000|[PE HEADER (dll)]| USER32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff53ef0000
2016-12-09 09:28:25 UTC+0000|[PE DEBUG]| USER32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff53ef0000
2021-11-20 14:11:28 UTC+0000|[DLL LOADTIME (dll)]| USER32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff53ef0000
2016-12-09 09:43:05 UTC+0000|[PE HEADER (dll)]| sspicli.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51250000
2016-12-09 09:43:05 UTC+0000|[PE DEBUG]| sspicli.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51250000
2021-11-20 14:12:17 UTC+0000|[DLL LOADTIME (dll)]| sspicli.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51250000
2016-07-16 02:26:57 UTC+0000|[PE HEADER (dll)]| wininitext.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51520000
2016-07-16 02:26:57 UTC+0000|[PE DEBUG]| wininitext.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51520000
2021-11-20 14:11:28 UTC+0000|[DLL LOADTIME (dll)]| wininitext.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51520000
2016-07-16 02:26:56 UTC+0000|[PE HEADER (dll)]| profapi.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff515e0000
2016-07-16 02:26:56 UTC+0000|[PE DEBUG]| profapi.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff515e0000
2021-11-20 14:11:23 UTC+0000|[DLL LOADTIME (dll)]| profapi.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff515e0000
2016-11-11 09:01:26 UTC+0000|[PE HEADER (dll)]| KERNELBASE.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51bf0000
2016-11-11 09:01:26 UTC+0000|[PE DEBUG]| KERNELBASE.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51bf0000
2021-11-20 14:11:22 UTC+0000|[DLL LOADTIME (dll)]| KERNELBASE.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51bf0000
2016-08-02 08:21:20 UTC+0000|[PE HEADER (dll)]| win32u.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51bd0000
-|[PE DEBUG]| win32u.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51bd0000
2021-11-20 14:11:28 UTC+0000|[DLL LOADTIME (dll)]| win32u.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51bd0000
2016-09-15 16:37:10 UTC+0000|[PE HEADER (dll)]| GDI32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff550d0000
2016-09-15 16:37:10 UTC+0000|[PE DEBUG]| GDI32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff550d0000
2021-11-20 14:11:28 UTC+0000|[DLL LOADTIME (dll)]| GDI32.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff550d0000
2016-07-16 02:11:01 UTC+0000|[PE HEADER (dll)]| ucrtbase.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51900000
-|[PE DEBUG]| ucrtbase.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51900000
2021-11-20 14:11:23 UTC+0000|[DLL LOADTIME (dll)]| ucrtbase.dll| Process: wininit.exe/PID: 540/PPID: 404/Process POffset: 0xc26c1080/DLL Base: 0x7fff51900000
2021-11-20 14:11:35 UTC+0000|[PROCESS]| services.exe| PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-20 14:15:45 UTC+0000|[Handle (Key)]| MACHINE| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SERVICEGROUPORDER| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-20 14:20:05 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-19 17:11:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
2021-11-19 14:39:58 UTC+0000|[Handle (Key)]| USER\.DEFAULT\CONTROL PANEL\INTERNATIONAL| services.exe PID: 664/PPID: 540/POffset: 0xc2779080
