Volatility 3 Framework 2.5.2

Offset	Name	Size

0xad81858763e0	\Windows\Registration\R000000000006.clb	216
0xad8185f9d0b0	\Windows\System32\drivers\rdbss.sys	216
0xad8185f9d500	꼀͘瑎晦昈ও뺅￿܂ŘੈĀ霒	216
0xad8185f9d950	\Windows\System32\drivers\npsvctrig.sys	216
0xad8185f9dda0	\Windows\System32\drivers\gpuenergydrv.sys	216
0xad8185f9e4d0	ꅰᆔ뺅￿	216
0xad8185f9ec00		216
0xad8185f9f1c0	ꏐᆔ뺅￿ꅰᆔ뺅￿	216
0xad8185f9f330	\Windows\System32\drivers\csc.sys	216
0xad8185f9f8f0	\Windows\System32\drivers\nsiproxy.sys	216
0xad8185f9fa60	ジ贵궁￿	216
0xad8185f9fbd0	\Windows\System32\drivers\mssmbios.sys	216
0xad8185fa0300	䀀ۀꭁ㲾	216
0xad8185fa08c0	\Windows\System32\drivers\dfsc.sys	216
0xad818604f0c0	\Windows\System32\coml2.dll	216
0xad818604f3e0	\Windows\System32\rpcrt4.dll	216
0xad818604f570	\Windows\System32\normaliz.dll	216
0xad818604f700	\Windows\System32\wow64.dll	216
0xad818604f890	\Windows\System32\comdlg32.dll	216
0xad81860501f0	\Windows\System32\user32.dll	216
0xad81860506a0	\ProtectedPrefix\NetWorkService	216
0xad81860509c0	\Windows\System32\ole32.dll	216
0xad8186050b50	\Windows	216
0xad8186050ce0	\Windows\System32\config\SYSTEM.LOG2	216
0xad8186069390		216
0xad818606a080	\$Directory	216
0xad818606a1f0	\Windows\System32\drivers\dxgkrnl.sys	216
0xad818606a4d0	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_fc93ae411c02f280\BasicDisplay.sys	216
0xad818606a640	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_ed345fdc37d65139\BasicRender.sys	216
0xad818606aa90	\Windows\System32\drivers\cimfs.sys	216
0xad818606ad70	\Windows\System32\drivers\tdx.sys	216
0xad818606aee0		216
0xad818606b330		216
0xad818606b4a0	\Windows\System32\drivers\vmrawdsk.sys	216
0xad818606b610	\Windows\System32\drivers\watchdog.sys	216
0xad818606bd40	\$Directory	216
0xad818606c300	쒄ガ곞Ǖ쒄ガ곞Ǖ䯊譶Ǚ쒄ガ곞Ǖ퀀	216
0xad818606c470	\Windows\System32\drivers\netbt.sys	216
0xad818606c750	\Windows\System32\drivers\afunix.sys	216
0xad818606cba0	\Windows\System32\drivers\afd.sys	216
0xad818606e390	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0xad818606e7e0	\$Directory	216
0xad818606e950	TxfLog	216
0xad818606eda0	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION	216
0xad818606f080	\$Secure:$SII:$INDEX_ALLOCATION	216
0xad818606f1f0	\$BitMap	216
0xad818606f360	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0xad818606f4d0	\$Extend:$I30:$INDEX_ALLOCATION	216
0xad818606f640	\$Mft	216
0xad818606f7b0	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION	216
0xad818606fc00	\$Mft::$BITMAP	216
0xad818606fd70	\$Secure:$SDS:$DATA	216
0xad8186070330	\$Extend\$UsnJrnl:$J:$DATA	216
0xad81860704a0	\$Directory	216
0xad8186070780	\$Extend\$RmMetadata\$Repair	216
0xad81860708f0	\:$I30:$INDEX_ALLOCATION	216
0xad8186070eb0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xad8186071190	KtmLog	216
0xad8186071300	\$Directory	216
0xad8186071470	\Windows\System32\drivers\en-US\ntfs.sys.mui	216
0xad81860715e0	\$Directory	216
0xad8186071750	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xad81860718c0	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA	216
0xad8186071a30	\$Extend\$Reparse:$R:$INDEX_ALLOCATION	216
0xad8186071d10	\:$I30:$INDEX_ALLOCATION	216
0xad8186071e80	\$Extend\$RmMetadata\$TxfLog\$Tops	216
0xad81860a20b0	\$Directory	216
0xad81860a2ac0	\Windows\System32\drivers\cdrom.sys	216
0xad81860a2da0	\Windows\System32\drivers\filecrypt.sys	216
0xad81860a31f0	\Windows\System32\drivers\dumpfve.sys	216
0xad81860a3920	\$Directory	216
0xad81860a3a90	\Windows\SysWOW64\ntdll.dll	216
0xad81860a3ee0	\Windows\System32\vertdll.dll	216
0xad81860a4330	\$Directory	216
0xad81860a4610	\Windows\System32\drivers\Dumpstorport.sys	216
0xad81860a4780	\Windows\System32\ntdll.dll	216
0xad81860a48f0	\Windows\System32\drivers\stornvme.sys	216
0xad81860a4d40	\Windows\System32\drivers\crashdmp.sys	216
0xad81860a5a30	\Windows\System32\drivers\null.sys	216
0xad81860a5e80	\Windows\System32\drivers\tbs.sys	216
0xad81860d13a0	\$Directory	216
0xad81860d1960	\Windows\System32\drivers\serial.sys	216
0xad81860d1db0	\Windows\System32\drivers\kdnic.sys	216
0xad81860d2090	\Windows\System32\drivers\kbdclass.sys	216
0xad81860d2370	\Windows\System32\drivers\vmmouse.sys	216
0xad81860d24e0	\Windows\System32\DriverStore\FileRepository\umbus.inf_amd64_b78a9c5b6fd62c27\umbus.sys	216
0xad81860d27c0	�뤂 ﬍紈弁ꈂƿ籐㴁ᄼ}=໊ﴄ罜渢쑏䩤볜ଔ쬗˼괠ᓻᇿ䘨塻ጀֻᫍ琰罟쌜䢈	216
0xad81860d2aa0	\Windows\System32\drivers\serenum.sys	216
0xad81860d31d0	ʏ㲡缀漇	216
0xad81860d3340	\Windows\System32\drivers\vm3dmp_loader.sys	216
0xad81860d3900	\$Directory	216
0xad81860d3be0	̊볐̃ͼﲁ琳먀㲷㞌漀 奺੿᝸老ǧ쨢 㤀͎欀ਃć_퀥׼ſĕƿ೻ݻĝ?〇żᜰ锬	216
0xad81860d41a0		216
0xad81860d4480	\Windows\System32\drivers\e1i65x64.sys	216
0xad81860d45f0	祷納휀㤁湈稁ꔁʼ벀봅㼀昀࿽㳀！�二셲ȼƿ緆砀Ｂﭭﮭ紈㼁혀ﾸ쀁˳ٺӽ	216
0xad81860d4e90	\Windows\System32\drivers\usbehci.sys	216
0xad81860d52e0	\Windows\System32\drivers\USBXHCI.SYS	216
0xad81860d58a0	\Windows\System32\drivers\Ucx01000.sys	216
0xad81860d5b80	Ž?�Ƽ௿ꃶｉഋ׿ᶢ�逃笏쀊<׽葵䀏ﮝ㰪⣝祔}箤퀀ࢄ빠瘀㏹ﳵꀀႧ஺ýﳀ�糖	216
0xad81860d6140	ỿ蓘怇ǿ봞䀈יּ윈༇缐左䓾ﴁ뤋ᤡ琀㜀瀀ﭢꀂ<ᗽ৽粠輕Oﴍ쀉ﾢ＋봝쀄	216
0xad81860d62b0	˿ﾡ켁䀎ￛ㠁묭＀현ᬠӻｘ退ﭢ砏ÿ䃝ହ㫺馘ꔩﾨ퀀㿼ﾸ�杀稺�ÿᫀӻ￸ﴀ椠ǻ￡จ	216
0xad81860d6b50	缀	뤠�ᥝࡻ䗀㰁缀㰑缀㱰缁䘂ӯ	216
0xad81860d6cc0	\Windows\System32\drivers\CmBatt.sys	216
0xad81860d73f0	\Windows\System32\drivers\intelppm.sys	216
0xad81860d7c90	\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys	216
0xad81860d8530	\Windows\System32\drivers\vmgencounter.sys	216
0xad81860d86a0	\Windows\System32\drivers\battc.sys	216
0xad81860d8810	\Windows\System32\drivers\NdisVirtualBus.sys	216
0xad81860d8980	朁e콰ː䲀㠃㉢࠸敥㌶㔭〴❢ՓⲀ昆敫祸猲고老Ĉ癱䰔爋捬睰浪扭扴eƼ䲀昆꺎	216
0xad8186134250	\Windows\System32\wow64cpu.dll	216
0xad81861343e0	\Windows\System32\gdi32.dll	216
0xad8186134570	\Windows\System32\imm32.dll	216
0xad8186134700	蕵遡驐鹇鵉顐鑕陌陇顀騻鰺鸽齃G	216
0xad8186134890	\Windows\System32\advapi32.dll	216
0xad8186134a20	熜涝暘庑垌劋侐亖䢛䢣	216
0xad8186134bb0	\Windows\System32\msvcrt.dll	216
0xad8186134d40	\Windows\System32\shell32.dll	216
0xad8186134ed0	\Windows\System32\SHCore.dll	216
0xad81861351f0	\Windows\System32\GdiPlus.dll	216
0xad8186135510	\Windows\System32\nsi.dll	216
0xad81861356a0	\Windows\System32\msctf.dll	216
0xad81861359c0	\Windows\System32\difxapi.dll	216
0xad8186135ce0	\Windows\System32\oleaut32.dll	216
0xad8186135e70	\Windows\System32\shlwapi.dll	216
0xad81861a8570	\Windows\SysWOW64\ws2_32.dll	216
0xad81861a8700	\Windows\SysWOW64\imm32.dll	216
0xad81861a8890	\Windows\SysWOW64\crypt32.dll	216
0xad81861a8bb0	\Windows\SysWOW64\wintrust.dll	216
0xad81861a8d40	\Windows\SysWOW64\normaliz.dll	216
0xad81861a8ed0	\Windows\SysWOW64\setupapi.dll	216
0xad81861a91f0	\Windows\SysWOW64\ucrtbase.dll	216
0xad81861a9380	\Windows\SysWOW64\cfgmgr32.dll	216
0xad81861a9510	\Windows\SysWOW64\user32.dll	216
0xad81861a96a0	\Windows\SysWOW64\gdi32full.dll	216
0xad81861a99c0	\Windows\SysWOW64\shlwapi.dll	216
0xad81861a9b50	\Windows\SysWOW64\KernelBase.dll	216
0xad81861a9ce0	\Windows\SysWOW64\combase.dll	216
0xad81861a9e70	\Windows\SysWOW64\sechost.dll	216
0xad81861aaad0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl	216
0xad81861ab4e0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl	216
0xad81861ab7c0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl	216
0xad81861abaa0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl	216
0xad81861ad310	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl	216
0xad81861ad480	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl	216
0xad81861ad5f0	\Windows\System32\WDI\LogFiles\WdiContextLog.etl.002	216
0xad81861ad760	\Windows\System32\LogFiles\WMI\NtfsLog.etl	216
0xad81861adbb0	৾颩崁ꖨ̀ᄅ駴먄頄礋뤆¸腁�촊ㆸž⥵²�销୉	216
0xad81861ae170	ᴀ\A尭꤀䊰㴀X耠䈀ᦞᐐC뱍㤀㤁态¸严Ǯ셹§墖턀꘣褀䈏ꃁX렄⤉꘢餀Xນ᾵¦墩　	216
0xad81861ae450	\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl	216
0xad81861aea10	\$Directory	216
0xad81861aeb80	\$Directory	216
0xad81861aecf0	ⴀXᥨ怊i堽娀X徙艩䅂-塍谀፹X塝簀X姅i塭ꐀԹ楘紀X壄焀梺贀X뛴֪릅똃h墝ᨀ	216
0xad81861af420	\$Directory	216
0xad81861af9e0	\Windows\System32\LogFiles\WMI\RadioMgr.etl	216
0xad81861afb50	\Windows\System32\LogFiles\WMI\LwtNetLog.etl	216
0xad81861afcc0	\$Directory	216
0xad81861b0560	\$Secure:$SDH:$INDEX_ALLOCATION	216
0xad81861b1dd0	\$Directory	216
0xad81861b20c0	\Windows\SysWOW64\msvcp_win.dll	216
0xad81861b2250	\ProtectedPrefix	216
0xad81861b23e0	\ProtectedPrefix\Administrators	216
0xad81861b2570	\ProtectedPrefix	216
