     Inode Address Inode Number              Path
------------------ ------------------------- ----
0xffff9f60bcf05ed0                         1 /sys
0xffff9f60b353da30                       295 /sys/power
0xffff9f60b353ded0                       304 /sys/power/disk
0xffff9f60b353dc80                       296 /sys/power/state
0xffff9f60b62d6f00                       936 /sys/block
0xffff9f60b6034310                     30841 /sys/block/sda
0xffff9f60b69586f0                     31706 /sys/block/sr0
0xffff9f60b2ef94d0                     31974 /sys/block/dm-1
0xffff9f60b630a9a0                     31887 /sys/block/dm-0
0xffff9f60bcfe84a0                         5 /sys/dev
0xffff9f60b62d57e0                         6 /sys/dev/block
0xffff9f60b630cc50                     31951 /sys/dev/block/253:1
0xffff9f60b6309030                     31864 /sys/dev/block/253:0
0xffff9f60b62dca00                     31682 /sys/dev/block/11:0
0xffff9f60b62d6a60                     30847 /sys/dev/block/8:1
0xffff9f60bcfe86f0                         7 /sys/dev/char
0xffff9f60b3628b90                     32955 /sys/dev/char/21:1
0xffff9f60b3628940                     33049 /sys/dev/char/10:57
0xffff9f60b36286f0                     33104 /sys/dev/char/116:33
0xffff9f60b36284a0                     33479 /sys/dev/char/116:1
0xffff9f60b3628250                     34175 /sys/dev/char/116:4
0xffff9f60b3628000                     34193 /sys/dev/char/116:5
0xffff9f60b3596810                     34210 /sys/dev/char/14:2
0xffff9f60b35973a0                     34258 /sys/dev/char/116:6
0xffff9f60b3564ea0                     34157 /sys/dev/char/116:3
0xffff9f60b35675f0                     34139 /sys/dev/char/116:2
0xffff9f60b3567840                     34227 /sys/dev/char/14:9
0xffff9f60b6277a90                     28511 /sys/dev/char/13:66
0xffff9f60b3597840                     28439 /sys/dev/char/13:65
0xffff9f60b3596a60                     29463 /sys/dev/char/13:68
0xffff9f60b3595ed0                     30763 /sys/dev/char/226:128
0xffff9f60b35957e0                     30780 /sys/dev/char/226:0
0xffff9f60b761ae40                     23475 /sys/dev/char/13:64
0xffff9f60b761f840                     31129 /sys/dev/char/29:0
0xffff9f60b2f550f0                     28563 /sys/dev/char/13:33
0xffff9f60b2f20000                     28580 /sys/dev/char/13:67
0xffff9f60b2e9ea60                     28494 /sys/dev/char/13:32
0xffff9f60b2c66f00                     22818 /sys/dev/char/4:65
0xffff9f60b2c66a60                     22857 /sys/dev/char/4:66
0xffff9f60b2c665c0                     22896 /sys/dev/char/4:67
0xffff9f60b2c66120                     22760 /sys/dev/char/4:64
0xffff9f60b630ecb0                     32045 /sys/dev/char/189:3
0xffff9f60bcf6abf0                         8 /sys/bus
0xffff9f60b61a3530                     16384 /sys/bus/thunderbolt
0xffff9f60b61a3780                     16386 /sys/bus/thunderbolt/devices
0xffff9f60b2f594d0                     33651 /sys/bus/ac97
0xffff9f60b348c0c0                     33653 /sys/bus/ac97/devices
0xffff9f60b348c310                     34124 /sys/bus/ac97/devices/0-0:CS4297A
0xffff9f60b2f59720                     33652 /sys/bus/ac97/uevent
0xffff9f60b2f56120                     33355 /sys/bus/snd_seq
0xffff9f60b348c560                     33357 /sys/bus/snd_seq/devices
0xffff9f60b348c7b0                     34243 /sys/bus/snd_seq/devices/seq-midi-0-0
0xffff9f60b2f54310                     33358 /sys/bus/snd_seq/drivers
0xffff9f60b2f90000                     34340 /sys/bus/snd_seq/drivers/snd_seq_midi
0xffff9f60b2f90250                     34346 /sys/bus/snd_seq/drivers/snd_seq_midi/uevent
0xffff9f60b2f56370                     33356 /sys/bus/snd_seq/uevent
0xffff9f60b628d7e0                     29637 /sys/bus/nd
0xffff9f60b2e6e5c0                     29639 /sys/bus/nd/devices
0xffff9f60b6020000                        25 /sys/bus/platform
0xffff9f60b60350f0                        28 /sys/bus/platform/drivers
0xffff9f60b2f547b0                     33141 /sys/bus/platform/drivers/pcspkr
0xffff9f60b2f54a00                     33200 /sys/bus/platform/drivers/pcspkr/uevent
0xffff9f60b2efd340                     32697 /sys/bus/platform/drivers/parport_pc
0xffff9f60b2efd590                     32701 /sys/bus/platform/drivers/parport_pc/uevent
0xffff9f60b601e120                     14757 /sys/bus/scsi
0xffff9f60b61b6120                     14759 /sys/bus/scsi/devices
0xffff9f60b2e729a0                     31427 /sys/bus/scsi/devices/target2:0:0
0xffff9f60b2e72750                     30093 /sys/bus/scsi/devices/target0:0:0
0xffff9f60bcfe9280                     14780 /sys/bus/usb
0xffff9f60b60273a0                     14783 /sys/bus/usb/drivers
0xffff9f60b2f5bc20                     33825 /sys/bus/usb/drivers/btusb
0xffff9f60b2f5be70                     33894 /sys/bus/usb/drivers/btusb/uevent
0xffff9f60bcfe94d0                     14782 /sys/bus/usb/devices
0xffff9f60b61a2500                     31253 /sys/bus/usb/devices/1-2:1.0
0xffff9f60b61a1970                     23257 /sys/bus/usb/devices/1-0:1.0
0xffff9f60b61a1280                     23218 /sys/bus/usb/devices/usb1
0xffff9f60b2e6f3a0                     29378 /sys/bus/usb/devices/1-1:1.0
0xffff9f60b2e6f150                     32187 /sys/bus/usb/devices/1-2.1:1.1
0xffff9f60b2e6ef00                     32108 /sys/bus/usb/devices/1-2.1:1.0
0xffff9f60b2e6ecb0                     32077 /sys/bus/usb/devices/1-2.1
0xffff9f60b2e6ea60                     31214 /sys/bus/usb/devices/1-2
0xffff9f60b2e6e810                     29305 /sys/bus/usb/devices/1-1
