Pid    Uid    Gid    Arguments                                                       
1      -1     1000   /usr/lib/systemd/systemd --switched-root --system --deserialize 22
2      0      0      [kthreadd]                                                      
4      0      0      [kworker/0:0H]                                                  
5      0      0      [kworker/u256:0]                                                
6      0      0      [ksoftirqd/0]                                                   
7      0      0      [migration/0]                                                   
8      0      0      [rcu_bh]                                                        
9      0      0      [rcu_sched]                                                     
10     0      0      [lru-add-drain]                                                 
11     0      0      [watchdog/0]                                                    
13     0      0      [kdevtmpfs]                                                     
14     0      0      [netns]                                                         
15     0      0      [khungtaskd]                                                    
16     0      0      [writeback]                                                     
17     0      0      [kintegrityd]                                                   
18     0      0      [bioset]                                                        
19     0      0      [bioset]                                                        
20     0      0      [bioset]                                                        
21     0      0      [kblockd]                                                       
22     0      0      [md]                                                            
23     0      0      [edac-poller]                                                   
24     0      0      [watchdogd]                                                     
25     0      0      [kworker/0:1]                                                   
30     0      0      [kswapd0]                                                       
31     0      0      [ksmd]                                                          
32     0      0      [khugepaged]                                                    
33     0      0      [crypto]                                                        
41     0      0      [kthrotld]                                                      
42     0      0      [kworker/u256:1]                                                
43     0      0      [kmpath_rdacd]                                                  
44     0      0      [kaluad]                                                        
45     0      0      [kpsmoused]                                                     
46     0      0      [kworker/0:2]                                                   
47     0      0      [ipv6_addrconf]                                                 
60     0      0      [deferwq]                                                       
96     0      0      [kauditd]                                                       
261    0      0      [kworker/0:3]                                                   
275    0      0      [ata_sff]                                                       
276    0      0      [mpt_poll_0]                                                    
277    0      0      [mpt/0]                                                         
282    0      0      [nfit]                                                          
297    0      0      [scsi_eh_0]                                                     
299    0      0      [scsi_tmf_0]                                                    
303    0      0      [scsi_eh_1]                                                     
306    0      0      [scsi_tmf_1]                                                    
308    0      0      [scsi_eh_2]                                                     
310    0      0      [scsi_tmf_2]                                                    
312    0      0      [irq/16-vmwgfx]                                                 
314    0      0      [ttm_swap]                                                      
385    0      0      [kdmflush]                                                      
386    0      0      [bioset]                                                        
396    0      0      [kdmflush]                                                      
397    0      0      [bioset]                                                        
409    0      0      [bioset]                                                        
410    0      0      [xfsalloc]                                                      
411    0      0      [xfs_mru_cache]                                                 
412    0      0      [xfs-buf/dm-0]                                                  
413    0      0      [xfs-data/dm-0]                                                 
414    0      0      [xfs-conv/dm-0]                                                 
415    0      0      [xfs-cil/dm-0]                                                  
416    0      0      [xfs-reclaim/dm-]                                               
417    0      0      [xfs-log/dm-0]                                                  
