Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000be8e710aed40  32781      1 RW-r-- \Device\HarddiskVolume3\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-WHEA%4Operational.evtx
0x0000be8e71a65940     19      0 RW-rwd \Device\HarddiskVolume3\$MftMirr
0x0000be8e71a65d90     15      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\vmusbmouse.sys
0x0000be8e71cab070      3      0 RW-rwd \Device\HarddiskVolume3\$Extend:$I30:$INDEX_ALLOCATION
0x0000be8e71cab350      3      0 RW-r-- \Device\HarddiskVolume3\$Extend\$RmMetadata\$Repair
0x0000be8e71cab4c0     24      0 RW-rwd \Device\HarddiskVolume3\$Extend\$UsnJrnl:$J:$DATA
0x0000be8e71cab630  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x0000be8e71cab910  32769      1 RW-r-- \Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0x0000be8e71cabd60     32      0 RW-rwd \Device\HarddiskVolume3\:$I30:$INDEX_ALLOCATION
0x0000be8e71cabed0     34      0 RW-rwd \Device\HarddiskVolume3\$LogFile
0x0000be8e71cd80a0  32769      1 RW-r-- \Device\clfsTxfLog
0x0000be8e71cd8660      4      0 RW-rwd \Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x0000be8e71cd8940     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\crashdmp.sys
0x0000be8e71cd8c20  32769      1 RWDrwd \Device\clfsᒐ譮ￋﱕݴҹ
0x0000be8e71cd9070     33      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71cd9350  32768      1 RW-rwd \Device\clfs\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x0000be8e71cd9630      9      0 R--r-- \Device\HarddiskVolume3\Windows\System32\ntdll.dll
0x0000be8e71cd97a0     11      0 R--r-- \Device\HarddiskVolume3\Windows\SysWOW64\ntdll.dll
0x0000be8e71cd9910  32769      1 RW-r-- \Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x0000be8e71cd9a80  32769      1 RW-r-- \Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x0000be8e71cd9bf0      1      1 RW-rwd \Device\HarddiskVolume3\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x0000be8e71cd9d60      3      0 RW-rwd \Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$Tops
0x0000be8e71cda380     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\dumpfve.sys
0x0000be8e71cda4f0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\stornvme.sys
0x0000be8e71cda940     33      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71cdac20      1      0 RW-rwd \Device\HarddiskVolume3\:$I30:$INDEX_ALLOCATION
0x0000be8e71cdad90  32769      1 RW-rw- \Device\clfsKtmLog
0x0000be8e71cdb070     28      0 RW-rwd \Device\HarddiskVolume3\$Extend\$Reparse:$R:$INDEX_ALLOCATION
0x0000be8e71cdb350     33      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71cdb7a0     33      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71cf7220     15      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\cdrom.sys
0x0000be8e71cf7390     31      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71cf7500     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\beep.sys
0x0000be8e71cf77e0     16      0 R--r-d \Device\HarddiskVolume3
좋䖉삄萏ｑ￿캋◨੠㌀凉遨ė讀ైࣷ謀삄萏Ｒ￿䏶ɐ蔏諡喋㏨
0x0000be8e71cf8640     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\vmrawdsk.sys
0x0000be8e71cf8a90     10      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\dxgkrnl.sys
0x0000be8e71cf8c00     28      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71d26ac0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\fastfat.sys
0x0000be8e71d29a30     33      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71d82c40     10      0 R--r-d \Device\HarddiskVolume3洂n湉䆌ࡥ졋䴃⁁䐓眺硵脪"往䐁湡⁤䨊敳༐慬潹瑵ƾ琏顴猁㨀捳污繥
0x0000be8e71d84060     15      0 R--r-d \Device\HarddiskVolume3ĉᠰ桴஠ڱ栠ᏩƘ醂蠂㟇༰獥ᆏ⁇祢甠楳ἓ选큏洎졹伕癥⬸Ჱ慥捲潨䈂Ѐ牥䰊敩⁷䍭
0x0000be8e71d84790     16      0 R--r-d \Device\HarddiskVolume3祍畯⁲ུ慦ʩɶ汇捯㩫삁畷䤌᥯硏爺獥 녣☀༁灭瑵攄ఐ獩﹫ကఘ䑀ʡ
0x0000be8e71d88840     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\intelppm.sys
0x0000be8e71d89530     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\NdisVirtualBus.sys
0x0000be8e71d988f0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\mouclass.sys
0x0000be8e71d98bd0     33      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000be8e71db9890     12      0 R--r-d \Device\HarddiskVolume3\Windows\SysWOW64\nsi.dll
0x0000be8e71dba510      5      0 R--r-d \Device\HarddiskVolume3\Windows\System32\bcryptprimitives.dll
0x0000be8e71dba6a0     12      0 R--r-d \Device\HarddiskVolume3\Windows\System32\crypt32.dll
0x0000be8e71dc4b50     14      0 R--r-d \Device\HarddiskVolume3\Windows\System32\wow64cpu.dll
0x0000be8e71df03e0      5      0 R--r-d \Device\HarddiskVolume3앴瞡⁡潧䴠乓Ⱒ䐢浩扯⁩앴斡搠晩≡∬潇渠慹慫洠潭楢礠⁥敭睳⁡
0x0000be8e71df0570     11      0 R--r-d \Device\HarddiskVolume3\Windows\SysWOW64\rpcrt4.dll
0x0000be8e71df0a20      4      0 R--r-d \Device\HarddiskVolume3攭⁮牦ꗃ쌠榩⁮瑳摡Ⱒ匢룃⁫썰₥敮瑴瑥‬楦湮映汩牥漠⁧灡慰⁲杯
0x0000be8e71df11f0      2      0 R--r-d \Device\HarddiskVolume3\Windows\SysWOW64\shell32.dll
0x0000be8e71df16a0     15      0 R--r-d \Device\HarddiskVolume3\Windows\SysWOW64\msvcrt.dll
0x0000be8e71df1830     12      0 R--r-d \Device\HarddiskVolume3\Windows\SysWOW64\kernel32.dll
0x0000be8e741f30c0     12      0 R--r-d \Device\HarddiskVolume3\Windows\System32\msvcrt.dll
0x0000be8e741f33e0      8      0 R--r-d \Device\HarddiskVolume3\Windows\System32\coml2.dll
0x0000be8e741f3700     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\setupapi.dll
0x0000be8e741f3bb0     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\SHCore.dll
0x0000be8e741f3d40     10      0 R--r-d \Device\HarddiskVolume3\Windows\System32\user32.dll
0x0000be8e741f41f0     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\comdlg32.dll
0x0000be8e741f4380     14      0 R--r-d \Device\HarddiskVolume3\Windows\System32\shlwapi.dll
0x0000be8e741f46a0      1      1 ------ \Device\Mailslot\ProtectedPrefix\NetWorkService
0x0000be8e741f4830     15      0 R--r-d \Device\HarddiskVolume3\Windows\System32\wow64.dll
0x0000be8e741f4b50  32768      1 R--rw- \Device\HarddiskVolume3\Windows
0x0000be8e741f4ce0      1      1 ------ \Device\NamedPipe\ProtectedPrefix\NetWorkService
0x0000be8e741f4e70     12      0 R--r-d \Device\HarddiskVolume3\Windows\System32\ole32.dll
0x0000be8e741fc640     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\vwififlt.sys
0x0000be8e741fcc00     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\afunix.sys
0x0000be8e741fd4a0     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\pacer.sys
0x0000be8e741fd8f0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\ndiscap.sys
0x0000be8e741fdbd0     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\afd.sys
0x0000be8e741fdeb0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\netbios.sys
0x0000be8e741fe470     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\Vid.sys
0x0000be8e741fe5e0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\drivers\winhvr.sys
