     Inode Address Inode Number              Path
------------------ ------------------------- ----
0xffff88001ec00000                         1 /sys
0xffff88001cb23b40                        62 /sys/power
0xffff88001c536c70                        66 /sys/power/disk
0xffff88001cb238c8                        63 /sys/power/state
0xffff88001ef2f8c8                         2 /sys/fs
0xffff88001ef2fb40                      5283 /sys/fs/fuse
0xffff88001ef2f160                      5284 /sys/fs/fuse/connections
0xffff88001ef2e780                         4 /sys/dev
0xffff88001ef2e9f8                         5 /sys/dev/block
0xffff88001c589da0                     10100 /sys/dev/block/8:2
0xffff88001c5893c0                     10079 /sys/dev/block/8:1
0xffff88001c534768                      9498 /sys/dev/block/11:0
0xffff88001c5344f0                     10058 /sys/dev/block/8:0
0xffff88001c51f160                      8313 /sys/dev/block/7:7
0xffff88001c52e018                      8211 /sys/dev/block/7:5
0xffff88001ecf09e0                      8262 /sys/dev/block/7:6
0xffff88001ecf0ed0                      8160 /sys/dev/block/7:4
0xffff88001c51c768                      8058 /sys/dev/block/7:2
0xffff88001ecf0278                      8007 /sys/dev/block/7:1
0xffff88001c51e780                      7956 /sys/dev/block/7:0
0xffff88001ecf0c58                      8109 /sys/dev/block/7:3
0xffff88001ef2ec70                     10121 /sys/dev/block/8:5
0xffff88001ef2d8b0                         9 /sys/firmware
0xffff88001ef2c9e0                       184 /sys/module
0xffff88001c58d3c0                     10742 /sys/module/ppdev
0xffff88001c58db28                     10746 /sys/module/ppdev/initstate
0xffff88001ecf0768                     10686 /sys/module/fbcon
0xffff88001c58c000                     10708 /sys/module/fbcon/initstate
0xffff88001ecf3b40                     10668 /sys/module/tileblit
0xffff88001ecf04f0                     10671 /sys/module/tileblit/initstate
0xffff88001ecf3650                     10649 /sys/module/font
0xffff88001ecf38c8                     10652 /sys/module/font/initstate
0xffff88001ecf3160                     10630 /sys/module/bitblit
0xffff88001ecf33d8                     10634 /sys/module/bitblit/initstate
0xffff88001ecf2c70                     10613 /sys/module/softcursor
0xffff88001ecf2ee8                     10616 /sys/module/softcursor/initstate
0xffff88001ecf18b0                       207 /sys/module/apparmor
0xffff88001c51c278                     10205 /sys/module/parport
0xffff88001c51c4f0                     10208 /sys/module/parport/initstate
0xffff88001c853b40                      9703 /sys/module/floppy
0xffff88001ecf0000                      9706 /sys/module/floppy/initstate
0xffff88001c84f650                     10231 /sys/module/lp
0xffff88001c58c9e0                     10235 /sys/module/lp/initstate
0xffff88001ee76290                       288 /sys/module/sg
0xffff88001ef2c000                      9617 /sys/module/e1000
0xffff88001ef2c4f0                      9623 /sys/module/e1000/initstate
0xffff88001edc58b0                         3 /sys/devices
0xffff88001c58a9f8                        21 /sys/devices/system
0xffff88001c588ed0                        22 /sys/devices/system/cpu
0xffff88000744bb40                        79 /sys/devices/system/cpu/cpuidle
0xffff88000744b8c8                        78 /sys/devices/system/cpu/cpufreq
0xffff88001cb23650                        28 /sys/devices/system/cpu/sched_mc_power_savings
0xffff88001cb209e0                       180 /sys/devices/system/cpu/cpu3
0xffff88001cb213c0                      2965 /sys/devices/system/cpu/cpu3/cache
0xffff88001cb21b28                      2986 /sys/devices/system/cpu/cpu3/cache/index2
0xffff88001cb21da0                      2994 /sys/devices/system/cpu/cpu3/cache/index2/shared_cpu_map
0xffff88001cb21638                      2976 /sys/devices/system/cpu/cpu3/cache/index1
0xffff88001cb218b0                      2984 /sys/devices/system/cpu/cpu3/cache/index1/shared_cpu_map
0xffff88001cb20ed0                      7129 /sys/devices/system/cpu/cpu3/topology
0xffff88001cb21148                      7134 /sys/devices/system/cpu/cpu3/topology/core_siblings
0xffff88001cb20c58                       181 /sys/devices/system/cpu/cpu3/online
0xffff88001ed184f0                       176 /sys/devices/system/cpu/cpu2
0xffff88001ef43650                      2934 /sys/devices/system/cpu/cpu2/cache
0xffff88001cb204f0                      2955 /sys/devices/system/cpu/cpu2/cache/index2
0xffff88001cb20768                      2963 /sys/devices/system/cpu/cpu2/cache/index2/shared_cpu_map
0xffff88001cb20000                      2945 /sys/devices/system/cpu/cpu2/cache/index1
0xffff88001cb20278                      2953 /sys/devices/system/cpu/cpu2/cache/index1/shared_cpu_map
0xffff88001ef2f3d8                      7122 /sys/devices/system/cpu/cpu2/topology
0xffff88001ec02780                      7127 /sys/devices/system/cpu/cpu2/topology/core_siblings
0xffff88001ef2f650                       177 /sys/devices/system/cpu/cpu2/online
0xffff88001c58b650                       172 /sys/devices/system/cpu/cpu1
0xffff88001ecf1148                      2903 /sys/devices/system/cpu/cpu1/cache
0xffff88001ecc2290                      2924 /sys/devices/system/cpu/cpu1/cache/index2
0xffff88001c84fb40                      2932 /sys/devices/system/cpu/cpu1/cache/index2/shared_cpu_map
0xffff88001ecf13c0                      2914 /sys/devices/system/cpu/cpu1/cache/index1
0xffff88001ecf1638                      2922 /sys/devices/system/cpu/cpu1/cache/index1/shared_cpu_map
0xffff88001c58bb40                      7115 /sys/devices/system/cpu/cpu1/topology
0xffff88001c58b3d8                      7120 /sys/devices/system/cpu/cpu1/topology/core_siblings
0xffff88001c58b8c8                       173 /sys/devices/system/cpu/cpu1/online
0xffff88001c588278                       169 /sys/devices/system/cpu/cpu0
0xffff88001c588c58                      2872 /sys/devices/system/cpu/cpu0/cache
0xffff88001c58ac70                      2893 /sys/devices/system/cpu/cpu0/cache/index2
0xffff88001c58b160                      2901 /sys/devices/system/cpu/cpu0/cache/index2/shared_cpu_map
0xffff88001c5884f0                      2883 /sys/devices/system/cpu/cpu0/cache/index1
