Pid    Uid    Gid    Arguments                                                       
1      0      0      /sbin/init                                                      
2      0      0      [kthreadd]                                                      
3      0      0      [migration/0]                                                   
4      0      0      [ksoftirqd/0]                                                   
5      0      0      [watchdog/0]                                                    
6      0      0      [migration/1]                                                   
7      0      0      [ksoftirqd/1]                                                   
8      0      0      [watchdog/1]                                                    
9      0      0      [migration/2]                                                   
10     0      0      [ksoftirqd/2]                                                   
11     0      0      [watchdog/2]                                                    
12     0      0      [migration/3]                                                   
13     0      0      [ksoftirqd/3]                                                   
14     0      0      [watchdog/3]                                                    
15     0      0      [events/0]                                                      
16     0      0      [events/1]                                                      
17     0      0      [events/2]                                                      
18     0      0      [events/3]                                                      
19     0      0      [cpuset]                                                        
20     0      0      [khelper]                                                       
21     0      0      [netns]                                                         
22     0      0      [async/mgr]                                                     
23     0      0      [pm]                                                            
25     0      0      [sync_supers]                                                   
26     0      0      [bdi-default]                                                   
27     0      0      [kintegrityd/0]                                                 
28     0      0      [kintegrityd/1]                                                 
29     0      0      [kintegrityd/2]                                                 
30     0      0      [kintegrityd/3]                                                 
31     0      0      [kblockd/0]                                                     
32     0      0      [kblockd/1]                                                     
33     0      0      [kblockd/2]                                                     
34     0      0      [kblockd/3]                                                     
35     0      0      [kacpid]                                                        
36     0      0      [kacpi_notify]                                                  
37     0      0      [kacpi_hotplug]                                                 
38     0      0      [ata/0]                                                         
39     0      0      [ata/1]                                                         
40     0      0      [ata/2]                                                         
41     0      0      [ata/3]                                                         
42     0      0      [ata_aux]                                                       
43     0      0      [ksuspend_usbd]                                                 
44     0      0      [khubd]                                                         
45     0      0      [kseriod]                                                       
46     0      0      [kmmcd]                                                         
51     0      0      [khungtaskd]                                                    
52     0      0      [kswapd0]                                                       
53     0      0      [ksmd]                                                          
54     0      0      [aio/0]                                                         
55     0      0      [aio/1]                                                         
56     0      0      [aio/2]                                                         
57     0      0      [aio/3]                                                         
58     0      0      [ecryptfs-kthrea]                                               
59     0      0      [crypto/0]                                                      
60     0      0      [crypto/1]                                                      
61     0      0      [crypto/2]                                                      
62     0      0      [crypto/3]                                                      
65     0      0      [pciehpd]                                                       
66     0      0      [scsi_eh_0]                                                     
67     0      0      [scsi_eh_1]                                                     
69     0      0      [kstriped]                                                      
70     0      0      [kmpathd/0]                                                     
71     0      0      [kmpathd/1]                                                     
72     0      0      [kmpathd/2]                                                     
73     0      0      [kmpathd/3]                                                     
74     0      0      [kmpath_handlerd]                                               
75     0      0      [ksnapd]                                                        
76     0      0      [kondemand/0]                                                   
77     0      0      [kondemand/1]                                                   
78     0      0      [kondemand/2]                                                   
79     0      0      [kondemand/3]                                                   
80     0      0      [kconservative/0]                                               
81     0      0      [kconservative/1]                                               
82     0      0      [kconservative/2]                                               
83     0      0      [kconservative/3]                                               
223    0      0      [mpt_poll_0]                                                    
263    0      0      [mpt/0]                                                         
266    0      0      [scsi_eh_2]                                                     
283    0      0      [jbd2/sda1-8]                                                   
284    0      0      [ext4-dio-unwrit]                                               
285    0      0      [ext4-dio-unwrit]                                               
286    0      0      [ext4-dio-unwrit]                                               
287    0      0      [ext4-dio-unwrit]                                               
347    0      0      upstart-udev-bridge --daemon                                    
349    0      0      udevd --daemon                                                  
461    0      0      udevd --daemon                                                  
462    0      0      udevd --daemon                                                  
505    0      0      [kpsmoused]                                                     
736    0      0      /usr/sbin/sshd -D                                               
742    101    103    rsyslogd -c4                                                    
744    103    113    dbus-daemon --system --fork                                     
766    0      0      gdm-binary                                                      
771    0      0      NetworkManager                                                  
776    105    115    avahi-daemon: ru                                                
781    105    115    avahi-daemon: ch                                                
783    0      0      /usr/sbin/modem-manager                                         
785    0      0      /usr/sbin/console-kit-daemon --no-daemon                        
891    0      0      /sbin/wpa_supplicant -u -s                                      
897    0      0      /sbin/getty -8 38400 tty4                                       
901    0      0      /sbin/getty -8 38400 tty5                                       
910    0      0      /sbin/getty -8 38400 tty2                                       
912    0      0      /sbin/getty -8 38400 tty3                                       
917    0      0      /sbin/getty -8 38400 tty6                                       
921    0      0      acpid -c /etc/acpi/events -s /var/run/acpid.socket              
922    0      0      /usr/sbin/irqbalance                                            
925    0      0      atd                                                             
926    0      0      cron                                                            
930    0      0      /usr/lib/gdm/gdm-simple-slave --display-id /org/gnome/DisplayManager/Display2
948    0      0      /usr/bin/X :1 -br -verbose -auth /var/run/gdm/auth-for-gdm-XIoAcg/database -nolisten tcp
965    115    123    /usr/sbin/mysqld                                                
971    0      0      /usr/sbin/cupsd -C /etc/cups/cupsd.conf                         
1032   0      0      /usr/sbin/apache2 -k start                                      
1040   33     33     /usr/sbin/apache2 -k start                                      
1042   33     33     /usr/sbin/apache2 -k start                                      
1043   33     33     /usr/sbin/apache2 -k start                                      
